# Descripiton: Analise de Erro na Distribuicao de Distancia de Luminosidade exata e Aproximada
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,-0.0000005507
0.0020000000,-0.0000044032
0.0030000000,-0.0000148516
0.0040000000,-0.0000351818
0.0050000000,-0.0000686716
0.0060000000,-0.0001185907
0.0070000000,-0.0001882006
0.0080000000,-0.0002807547
0.0090000000,-0.0003994983
0.0100000000,-0.0005476687
0.0110000000,-0.0007284953
0.0120000000,-0.0009451993
0.0130000000,-0.0012009941
0.0140000000,-0.0014990851
0.0150000000,-0.0018426699
0.0160000000,-0.0022349381
0.0170000000,-0.0026790715
0.0180000000,-0.0031782441
0.0190000000,-0.0037356220
0.0200000000,-0.0043543638
0.0210000000,-0.0050376201
0.0220000000,-0.0057885339
0.0230000000,-0.0066102405
0.0240000000,-0.0075058675
0.0250000000,-0.0084785348
0.0260000000,-0.0095313549
0.0270000000,-0.0106674327
0.0280000000,-0.0118898652
0.0290000000,-0.0132017423
0.0300000000,-0.0146061462
0.0310000000,-0.0161061516
0.0320000000,-0.0177048258
0.0330000000,-0.0194052286
0.0340000000,-0.0212104125
0.0350000000,-0.0231234225
0.0360000000,-0.0251472964
0.0370000000,-0.0272850646
0.0380000000,-0.0295397501
0.0390000000,-0.0319143687
0.0400000000,-0.0344119291
0.0410000000,-0.0370354325
0.0420000000,-0.0397878730
0.0430000000,-0.0426722375
0.0440000000,-0.0456915059
0.0450000000,-0.0488486508
0.0460000000,-0.0521466377
0.0470000000,-0.0555884250
0.0480000000,-0.0591769642
0.0490000000,-0.0629151996
0.0500000000,-0.0668060684
0.0510000000,-0.0708525011
0.0520000000,-0.0750574210
0.0530000000,-0.0794237445
0.0540000000,-0.0839543812
0.0550000000,-0.0886522336
0.0560000000,-0.0935201974
0.0570000000,-0.0985611616
0.0580000000,-0.1037780081
0.0590000000,-0.1091736122
0.0600000000,-0.1147508423
0.0610000000,-0.1205125601
0.0620000000,-0.1264616206
0.0630000000,-0.1326008720
0.0640000000,-0.1389331557
0.0650000000,-0.1454613067
0.0660000000,-0.1521881531
0.0670000000,-0.1591165166
0.0680000000,-0.1662492119
0.0690000000,-0.1735890476
0.0700000000,-0.1811388254
0.0710000000,-0.1889013406
0.0720000000,-0.1968793819
0.0730000000,-0.2050757315
0.0740000000,-0.2134931653
0.0750000000,-0.2221344523
0.0760000000,-0.2310023556
0.0770000000,-0.2400996316
0.0780000000,-0.2494290303
0.0790000000,-0.2589932953
0.0800000000,-0.2687951640
0.0810000000,-0.2788373673
0.0820000000,-0.2891226299
0.0830000000,-0.2996536701
0.0840000000,-0.3104332001
0.0850000000,-0.3214639256
0.0860000000,-0.3327485463
0.0870000000,-0.3442897555
0.0880000000,-0.3560902405
0.0890000000,-0.3681526823
0.0900000000,-0.3804797557
0.0910000000,-0.3930741295
0.0920000000,-0.4059384663
0.0930000000,-0.4190754226
0.0940000000,-0.4324876488
0.0950000000,-0.4461777895
0.0960000000,-0.4601484828
0.0970000000,-0.4744023613
0.0980000000,-0.4889420511
0.0990000000,-0.5037701727
0.1000000000,-0.5188893405
0.1010000000,-0.5343021630
0.1020000000,-0.5500112427
0.1030000000,-0.5660191762
0.1040000000,-0.5823285544
0.1050000000,-0.5989419620
0.1060000000,-0.6158619781
0.1070000000,-0.6330911761
0.1080000000,-0.6506321232
0.1090000000,-0.6684873811
0.1100000000,-0.6866595056
0.1110000000,-0.7051510468
0.1120000000,-0.7239645491
0.1130000000,-0.7431025511
0.1140000000,-0.7625675857
0.1150000000,-0.7823621803
0.1160000000,-0.8024888562
0.1170000000,-0.8229501296
0.1180000000,-0.8437485107
0.1190000000,-0.8648865042
0.1200000000,-0.8863666091
0.1210000000,-0.9081913191
0.1220000000,-0.9303631221
0.1230000000,-0.9528845005
0.1240000000,-0.9757579311
0.1250000000,-0.9989858855
0.1260000000,-1.0225708294
0.1270000000,-1.0465152233
0.1280000000,-1.0708215222
0.1290000000,-1.0954921756
0.1300000000,-1.1205296276
0.1310000000,-1.1459363169
0.1320000000,-1.1717146767
0.1330000000,-1.1978671351
0.1340000000,-1.2243961147
0.1350000000,-1.2513040325
0.1360000000,-1.2785933007
0.1370000000,-1.3062663257
0.1380000000,-1.3343255089
0.1390000000,-1.3627732464
0.1400000000,-1.3916119289
0.1410000000,-1.4208439419
0.1420000000,-1.4504716659
0.1430000000,-1.4804974758
0.1440000000,-1.5109237417
0.1450000000,-1.5417528282
0.1460000000,-1.5729870950
0.1470000000,-1.6046288964
0.1480000000,-1.6366805818
0.1490000000,-1.6691444953
0.1500000000,-1.7020229760
0.1510000000,-1.7353183580
0.1520000000,-1.7690329701
0.1530000000,-1.8031691363
0.1540000000,-1.8377291754
0.1550000000,-1.8727154011
0.1560000000,-1.9081301224
0.1570000000,-1.9439756430
0.1580000000,-1.9802542618
0.1590000000,-2.0169682726
0.1600000000,-2.0541199644
0.1610000000,-2.0917116212
0.1620000000,-2.1297455221
0.1630000000,-2.1682239413
0.1640000000,-2.2071491480
0.1650000000,-2.2465234067
0.1660000000,-2.2863489769
0.1670000000,-2.3266281134
0.1680000000,-2.3673630660
0.1690000000,-2.4085560799
0.1700000000,-2.4502093953
0.1710000000,-2.4923252477
0.1720000000,-2.5349058678
0.1730000000,-2.5779534816
0.1740000000,-2.6214703102
0.1750000000,-2.6654585703
0.1760000000,-2.7099204735
0.1770000000,-2.7548582270
0.1780000000,-2.8002740331
0.1790000000,-2.8461700895
0.1800000000,-2.8925485893
0.1810000000,-2.9394117209
0.1820000000,-2.9867616681
0.1830000000,-3.0346006100
0.1840000000,-3.0829307212
0.1850000000,-3.1317541717
0.1860000000,-3.1810731268
0.1870000000,-3.2308897473
0.1880000000,-3.2812061897
0.1890000000,-3.3320246055
0.1900000000,-3.3833471420
0.1910000000,-3.4351759419
0.1920000000,-3.4875131434
0.1930000000,-3.5403608802
0.1940000000,-3.5937212816
0.1950000000,-3.6475964724
0.1960000000,-3.7019885730
0.1970000000,-3.7568996992
0.1980000000,-3.8123319625
0.1990000000,-3.8682874701
0.2000000000,-3.9247683247
0.2010000000,-3.9817766246
0.2020000000,-4.0393144637
0.2030000000,-4.0973839316
0.2040000000,-4.1559871137
0.2050000000,-4.2151260908
0.2060000000,-4.2748029395
0.2070000000,-4.3350197322
0.2080000000,-4.3957785370
0.2090000000,-4.4570814174
0.2100000000,-4.5189304331
0.2110000000,-4.5813276392
0.2120000000,-4.6442750867
0.2130000000,-4.7077748224
0.2140000000,-4.7718288888
0.2150000000,-4.8364393242
0.2160000000,-4.9016081627
0.2170000000,-4.9673374344
0.2180000000,-5.0336291650
0.2190000000,-5.1004853761
0.2200000000,-5.1679080851
0.2210000000,-5.2358993056
0.2220000000,-5.3044610466
0.2230000000,-5.3735953133
0.2240000000,-5.4433041067
0.2250000000,-5.5135894238
0.2260000000,-5.5844532574
0.2270000000,-5.6558975963
0.2280000000,-5.7279244252
0.2290000000,-5.8005357249
0.2300000000,-5.8737334719
0.2310000000,-5.9475196391
0.2320000000,-6.0218961950
0.2330000000,-6.0968651043
0.2340000000,-6.1724283277
0.2350000000,-6.2485878219
0.2360000000,-6.3253455396
0.2370000000,-6.4027034296
0.2380000000,-6.4806634367
0.2390000000,-6.5592275020
0.2400000000,-6.6383975624
0.2410000000,-6.7181755511
0.2420000000,-6.7985633972
0.2430000000,-6.8795630261
0.2440000000,-6.9611763593
0.2450000000,-7.0434053143
0.2460000000,-7.1262518050
0.2470000000,-7.2097177412
0.2480000000,-7.2938050290
0.2490000000,-7.3785155707
0.2500000000,-7.4638512647
0.2510000000,-7.5498140058
0.2520000000,-7.6364056847
0.2530000000,-7.7236281887
0.2540000000,-7.8114834010
0.2550000000,-7.8999732012
0.2560000000,-7.9890994652
0.2570000000,-8.0788640651
0.2580000000,-8.1692688693
0.2590000000,-8.2603157424
0.2600000000,-8.3520065454
0.2610000000,-8.4443431357
0.2620000000,-8.5373273667
0.2630000000,-8.6309610885
0.2640000000,-8.7252461473
0.2650000000,-8.8201843858
0.2660000000,-8.9157776428
0.2670000000,-9.0120277537
0.2680000000,-9.1089365504
0.2690000000,-9.2065058608
0.2700000000,-9.3047375095
0.2710000000,-9.4036333175
0.2720000000,-9.5031951020
0.2730000000,-9.6034246769
0.2740000000,-9.7043238522
0.2750000000,-9.8058944348
0.2760000000,-9.9081382278
0.2770000000,-10.0110570306
0.2780000000,-10.1146526394
0.2790000000,-10.2189268467
0.2800000000,-10.3238814416
0.2810000000,-10.4295182095
0.2820000000,-10.5358389327
0.2830000000,-10.6428453897
0.2840000000,-10.7505393555
0.2850000000,-10.8589226019
0.2860000000,-10.9679968972
0.2870000000,-11.0777640060
0.2880000000,-11.1882256898
0.2890000000,-11.2993837065
0.2900000000,-11.4112398106
0.2910000000,-11.5237957533
0.2920000000,-11.6370532823
0.2930000000,-11.7510141421
0.2940000000,-11.8656800735
0.2950000000,-11.9810528142
0.2960000000,-12.0971340985
0.2970000000,-12.2139256573
0.2980000000,-12.3314292182
0.2990000000,-12.4496465055
0.3000000000,-12.5685792402
0.3010000000,-12.6882291398
0.3020000000,-12.8085979187
0.3030000000,-12.9296872880
0.3040000000,-13.0514989554
0.3050000000,-13.1740346255
0.3060000000,-13.2972959994
0.3070000000,-13.4212847752
0.3080000000,-13.5460026475
0.3090000000,-13.6714513078
0.3100000000,-13.7976324445
0.3110000000,-13.9245477425
0.3120000000,-14.0521988837
0.3130000000,-14.1805875467
0.3140000000,-14.3097154069
0.3150000000,-14.4395841366
0.3160000000,-14.5701954048
0.3170000000,-14.7015508774
0.3180000000,-14.8336522171
0.3190000000,-14.9665010835
0.3200000000,-15.1000991331
0.3210000000,-15.2344480191
0.3220000000,-15.3695493916
0.3230000000,-15.5054048979
0.3240000000,-15.6420161817
0.3250000000,-15.7793848839
0.3260000000,-15.9175126422
0.3270000000,-16.0564010913
0.3280000000,-16.1960518628
0.3290000000,-16.3364665851
0.3300000000,-16.4776468837
0.3310000000,-16.6195943810
0.3320000000,-16.7623106963
0.3330000000,-16.9057974458
0.3340000000,-17.0500562429
0.3350000000,-17.1950886978
0.3360000000,-17.3408964177
0.3370000000,-17.4874810069
0.3380000000,-17.6348440665
0.3390000000,-17.7829871948
0.3400000000,-17.9319119870
0.3410000000,-18.0816200355
0.3420000000,-18.2321129294
0.3430000000,-18.3833922552
0.3440000000,-18.5354595962
0.3450000000,-18.6883165329
0.3460000000,-18.8419646427
0.3470000000,-18.9964055004
0.3480000000,-19.1516406774
0.3490000000,-19.3076717426
0.3500000000,-19.4645002618
0.3510000000,-19.6221277979
0.3520000000,-19.7805559110
0.3530000000,-19.9397861582
0.3540000000,-20.0998200939
0.3550000000,-20.2606592694
0.3560000000,-20.4223052332
0.3570000000,-20.5847595311
0.3580000000,-20.7480237060
0.3590000000,-20.9120992978
0.3600000000,-21.0769878437
0.3610000000,-21.2426908781
0.3620000000,-21.4092099325
0.3630000000,-21.5765465356
0.3640000000,-21.7447022134
0.3650000000,-21.9136784889
0.3660000000,-22.0834768826
0.3670000000,-22.2540989119
0.3680000000,-22.4255460917
