# Descripiton: Analise de Erro na Distribuicao de Distancia de Luminosidade exata e Aproximada
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,-0.0000009034
0.0020000000,-0.0000072234
0.0030000000,-0.0000243672
0.0040000000,-0.0000577318
0.0050000000,-0.0001127035
0.0060000000,-0.0001946587
0.0070000000,-0.0003089633
0.0080000000,-0.0004609731
0.0090000000,-0.0006560336
0.0100000000,-0.0008994802
0.0110000000,-0.0011966379
0.0120000000,-0.0015528219
0.0130000000,-0.0019733371
0.0140000000,-0.0024634782
0.0150000000,-0.0030285300
0.0160000000,-0.0036737672
0.0170000000,-0.0044044546
0.0180000000,-0.0052258466
0.0190000000,-0.0061431881
0.0200000000,-0.0071617139
0.0210000000,-0.0082866486
0.0220000000,-0.0095232072
0.0230000000,-0.0108765947
0.0240000000,-0.0123520063
0.0250000000,-0.0139546273
0.0260000000,-0.0156896332
0.0270000000,-0.0175621898
0.0280000000,-0.0195774529
0.0290000000,-0.0217405688
0.0300000000,-0.0240566739
0.0310000000,-0.0265308951
0.0320000000,-0.0291683494
0.0330000000,-0.0319741443
0.0340000000,-0.0349533776
0.0350000000,-0.0381111376
0.0360000000,-0.0414525028
0.0370000000,-0.0449825424
0.0380000000,-0.0487063157
0.0390000000,-0.0526288730
0.0400000000,-0.0567552546
0.0410000000,-0.0610904916
0.0420000000,-0.0656396057
0.0430000000,-0.0704076089
0.0440000000,-0.0753995040
0.0450000000,-0.0806202845
0.0460000000,-0.0860749342
0.0470000000,-0.0917684280
0.0480000000,-0.0977057311
0.0490000000,-0.1038917996
0.0500000000,-0.1103315804
0.0510000000,-0.1170300109
0.0520000000,-0.1239920195
0.0530000000,-0.1312225252
0.0540000000,-0.1387264381
0.0550000000,-0.1465086589
0.0560000000,-0.1545740791
0.0570000000,-0.1629275814
0.0580000000,-0.1715740390
0.0590000000,-0.1805183164
0.0600000000,-0.1897652688
0.0610000000,-0.1993197424
0.0620000000,-0.2091865745
0.0630000000,-0.2193705933
0.0640000000,-0.2298766181
0.0650000000,-0.2407094593
0.0660000000,-0.2518739181
0.0670000000,-0.2633747872
0.0680000000,-0.2752168501
0.0690000000,-0.2874048815
0.0700000000,-0.2999436475
0.0710000000,-0.3128379051
0.0720000000,-0.3260924025
0.0730000000,-0.3397118793
0.0740000000,-0.3537010662
0.0750000000,-0.3680646854
0.0760000000,-0.3828074500
0.0770000000,-0.3979340647
0.0780000000,-0.4134492254
0.0790000000,-0.4293576195
0.0800000000,-0.4456639255
0.0810000000,-0.4623728135
0.0820000000,-0.4794889451
0.0830000000,-0.4970169730
0.0840000000,-0.5149615415
0.0850000000,-0.5333272866
0.0860000000,-0.5521188355
0.0870000000,-0.5713408070
0.0880000000,-0.5909978114
0.0890000000,-0.6110944507
0.0900000000,-0.6316353182
0.0910000000,-0.6526249991
0.0920000000,-0.6740680701
0.0930000000,-0.6959690994
0.0940000000,-0.7183326470
0.0950000000,-0.7411632645
0.0960000000,-0.7644654952
0.0970000000,-0.7882438742
0.0980000000,-0.8125029283
0.0990000000,-0.8372471759
0.1000000000,-0.8624811274
0.1010000000,-0.8882092848
0.1020000000,-0.9144361421
0.1030000000,-0.9411661849
0.1040000000,-0.9684038908
0.1050000000,-0.9961537294
0.1060000000,-1.0244201619
0.1070000000,-1.0532076416
0.1080000000,-1.0825206136
0.1090000000,-1.1123635151
0.1100000000,-1.1427407752
0.1110000000,-1.1736568149
0.1120000000,-1.2051160474
0.1130000000,-1.2371228777
0.1140000000,-1.2696817031
0.1150000000,-1.3027969127
0.1160000000,-1.3364728878
0.1170000000,-1.3707140018
0.1180000000,-1.4055246204
0.1190000000,-1.4409091010
0.1200000000,-1.4768717936
0.1210000000,-1.5134170401
0.1220000000,-1.5505491748
0.1230000000,-1.5882725240
0.1240000000,-1.6265914065
0.1250000000,-1.6655101330
0.1260000000,-1.7050330068
0.1270000000,-1.7451643234
0.1280000000,-1.7859083704
0.1290000000,-1.8272694280
0.1300000000,-1.8692517687
0.1310000000,-1.9118596571
0.1320000000,-1.9550973506
0.1330000000,-1.9989690987
0.1340000000,-2.0434791433
0.1350000000,-2.0886317190
0.1360000000,-2.1344310526
0.1370000000,-2.1808813634
0.1380000000,-2.2279868635
0.1390000000,-2.2757517570
0.1400000000,-2.3241802409
0.1410000000,-2.3732765047
0.1420000000,-2.4230447303
0.1430000000,-2.4734890923
0.1440000000,-2.5246137580
0.1450000000,-2.5764228870
0.1460000000,-2.6289206319
0.1470000000,-2.6821111376
0.1480000000,-2.7359985421
0.1490000000,-2.7905869756
0.1500000000,-2.8458805615
0.1510000000,-2.9018834154
0.1520000000,-2.9585996461
0.1530000000,-3.0160333549
0.1540000000,-3.0741886359
0.1550000000,-3.1330695761
0.1560000000,-3.1926802552
0.1570000000,-3.2530247459
0.1580000000,-3.3141071134
0.1590000000,-3.3759314161
0.1600000000,-3.4385017051
0.1610000000,-3.5018220246
0.1620000000,-3.5658964114
0.1630000000,-3.6307288954
0.1640000000,-3.6963234995
0.1650000000,-3.7626842395
0.1660000000,-3.8298151242
0.1670000000,-3.8977201553
0.1680000000,-3.9664033277
0.1690000000,-4.0358686292
0.1700000000,-4.1061200407
0.1710000000,-4.1771615360
0.1720000000,-4.2489970823
0.1730000000,-4.3216306396
0.1740000000,-4.3950661612
0.1750000000,-4.4693075935
0.1760000000,-4.5443588759
0.1770000000,-4.6202239412
0.1780000000,-4.6969067151
0.1790000000,-4.7744111169
0.1800000000,-4.8527410587
0.1810000000,-4.9319004460
0.1820000000,-5.0118931776
0.1830000000,-5.0927231455
0.1840000000,-5.1743942349
0.1850000000,-5.2569103246
0.1860000000,-5.3402752863
0.1870000000,-5.4244929852
0.1880000000,-5.5095672800
0.1890000000,-5.5955020226
0.1900000000,-5.6823010582
0.1910000000,-5.7699682255
0.1920000000,-5.8585073567
0.1930000000,-5.9479222772
0.1940000000,-6.0382168061
0.1950000000,-6.1293947556
0.1960000000,-6.2214599318
0.1970000000,-6.3144161339
0.1980000000,-6.4082671548
0.1990000000,-6.5030167809
0.2000000000,-6.5986687921
0.2010000000,-6.6952269619
0.2020000000,-6.7926950572
0.2030000000,-6.8910768388
0.2040000000,-6.9903760608
0.2050000000,-7.0905964709
0.2060000000,-7.1917418107
0.2070000000,-7.2938158151
0.2080000000,-7.3968222130
0.2090000000,-7.5007647267
0.2100000000,-7.6056470723
0.2110000000,-7.7114729596
0.2120000000,-7.8182460920
0.2130000000,-7.9259701669
0.2140000000,-8.0346488751
0.2150000000,-8.1442859014
0.2160000000,-8.2548849244
0.2170000000,-8.3664496162
0.2180000000,-8.4789836431
0.2190000000,-8.5924906650
0.2200000000,-8.7069743356
0.2210000000,-8.8224383025
0.2220000000,-8.9388862072
0.2230000000,-9.0563216850
0.2240000000,-9.1747483653
0.2250000000,-9.2941698711
0.2260000000,-9.4145898196
0.2270000000,-9.5360118218
0.2280000000,-9.6584394826
0.2290000000,-9.7818764010
0.2300000000,-9.9063261699
0.2310000000,-10.0317923762
0.2320000000,-10.1582786008
0.2330000000,-10.2857884187
0.2340000000,-10.4143253989
0.2350000000,-10.5438931044
0.2360000000,-10.6744950923
0.2370000000,-10.8061349138
0.2380000000,-10.9388161141
0.2390000000,-11.0725422328
0.2400000000,-11.2073168032
0.2410000000,-11.3431433531
0.2420000000,-11.4800254042
0.2430000000,-11.6179664725
0.2440000000,-11.7569700682
0.2450000000,-11.8970396956
0.2460000000,-12.0381788531
0.2470000000,-12.1803910337
0.2480000000,-12.3236797243
0.2490000000,-12.4680484061
0.2500000000,-12.6135005547
0.2510000000,-12.7600396399
0.2520000000,-12.9076691256
0.2530000000,-13.0563924703
0.2540000000,-13.2062131268
0.2550000000,-13.3571345419
0.2560000000,-13.5091601571
0.2570000000,-13.6622934081
0.2580000000,-13.8165377250
0.2590000000,-13.9718965322
0.2600000000,-14.1283732487
0.2610000000,-14.2859712877
0.2620000000,-14.4446940569
0.2630000000,-14.6045449585
0.2640000000,-14.7655273890
0.2650000000,-14.9276447396
0.2660000000,-15.0909003957
0.2670000000,-15.2552977373
0.2680000000,-15.4208401390
0.2690000000,-15.5875309698
0.2700000000,-15.7553735933
0.2710000000,-15.9243713676
0.2720000000,-16.0945276453
0.2730000000,-16.2658457737
0.2740000000,-16.4383290946
0.2750000000,-16.6119809444
0.2760000000,-16.7868046540
0.2770000000,-16.9628035492
0.2780000000,-17.1399809501
0.2790000000,-17.3183401717
0.2800000000,-17.4978845234
0.2810000000,-17.6786173097
0.2820000000,-17.8605418292
0.2830000000,-18.0436613757
0.2840000000,-18.2279792375
0.2850000000,-18.4134986975
0.2860000000,-18.6002230335
0.2870000000,-18.7881555181
0.2880000000,-18.9772994185
0.2890000000,-19.1676579966
0.2900000000,-19.3592345094
0.2910000000,-19.5520322084
0.2920000000,-19.7460543400
0.2930000000,-19.9413041455
0.2940000000,-20.1377848609
0.2950000000,-20.3354997171
0.2960000000,-20.5344519398
0.2970000000,-20.7346447497
0.2980000000,-20.9360813623
0.2990000000,-21.1387649879
0.3000000000,-21.3426988318
0.3010000000,-21.5478860943
0.3020000000,-21.7543299705
0.3030000000,-21.9620336504
0.3040000000,-22.1710003191
0.3050000000,-22.3812331566
0.3060000000,-22.5927353377
0.3070000000,-22.8055100326
0.3080000000,-23.0195604060
0.3090000000,-23.2348896179
0.3100000000,-23.4515008234
0.3110000000,-23.6693971723
0.3120000000,-23.8885818099
0.3130000000,-24.1090578761
0.3140000000,-24.3308285062
0.3150000000,-24.5538968303
0.3160000000,-24.7782659739
0.3170000000,-25.0039390574
0.3180000000,-25.2309191963
0.3190000000,-25.4592095014
0.3200000000,-25.6888130784
0.3210000000,-25.9197330283
0.3220000000,-26.1519724472
0.3230000000,-26.3855344265
0.3240000000,-26.6204220526
0.3250000000,-26.8566384072
0.3260000000,-27.0941865672
0.3270000000,-27.3330696046
0.3280000000,-27.5732905868
0.3290000000,-27.8148525763
0.3300000000,-28.0577586310
0.3310000000,-28.3020118038
0.3320000000,-28.5476151432
0.3330000000,-28.7945716928
0.3340000000,-29.0428844914
0.3350000000,-29.2925565733
0.3360000000,-29.5435909680
0.3370000000,-29.7959907003
0.3380000000,-30.0497587906
0.3390000000,-30.3048982542
0.3400000000,-30.5614121021
0.3410000000,-30.8193033405
0.3420000000,-31.0785749712
0.3430000000,-31.3392299911
0.3440000000,-31.6012713927
0.3450000000,-31.8647021637
0.3460000000,-32.1295252876
0.3470000000,-32.3957437430
0.3480000000,-32.6633605040
0.3490000000,-32.9323785403
0.3500000000,-33.2028008169
0.3510000000,-33.4746302943
0.3520000000,-33.7478699286
0.3530000000,-34.0225226714
0.3540000000,-34.2985914695
0.3550000000,-34.5760792656
0.3560000000,-34.8549889978
0.3570000000,-35.1353235997
0.3580000000,-35.4170860003
0.3590000000,-35.7002791245
0.3600000000,-35.9849058925
0.3610000000,-36.2709692203
0.3620000000,-36.5584720191
0.3630000000,-36.8474171961
0.3640000000,-37.1378076540
0.3650000000,-37.4296462910
0.3660000000,-37.7229360011
0.3670000000,-38.0176796737
0.3680000000,-38.3138801941
0.3690000000,-38.6115404431
0.3700000000,-38.9106632973
0.3710000000,-39.2112516289
0.3720000000,-39.5133083057
0.3730000000,-39.8168361914
0.3740000000,-40.1218381452
0.3750000000,-40.4283170222
0.3760000000,-40.7362756731
0.3770000000,-41.0457169444
0.3780000000,-41.3566436784
0.3790000000,-41.6690587130
0.3800000000,-41.9829648820
0.3810000000,-42.2983650149
0.3820000000,-42.6152619371
0.3830000000,-42.9336584696
0.3840000000,-43.2535574295
0.3850000000,-43.5749616294
0.3860000000,-43.8978738779
0.3870000000,-44.2222969794
0.3880000000,-44.5482337342
0.3890000000,-44.8756869383
0.3900000000,-45.2046593838
0.3910000000,-45.5351538584
0.3920000000,-45.8671731459
0.3930000000,-46.2007200259
0.3940000000,-46.5357972739
0.3950000000,-46.8724076613
0.3960000000,-47.2105539554
0.3970000000,-47.5502389196
0.3980000000,-47.8914653130
0.3990000000,-48.2342358907
0.4000000000,-48.5785534040
0.4010000000,-48.9244205998
0.4020000000,-49.2718402212
0.4030000000,-49.6208150073
0.4040000000,-49.9713476931
0.4050000000,-50.3234410095
0.4060000000,-50.6770976837
0.4070000000,-51.0323204387
0.4080000000,-51.3891119935
0.4090000000,-51.7474750634
0.4100000000,-52.1074123594
0.4110000000,-52.4689265889
0.4120000000,-52.8320204551
0.4130000000,-53.1966966573
0.4140000000,-53.5629578910
0.4150000000,-53.9308068478
0.4160000000,-54.3002462153
0.4170000000,-54.6712786773
0.4180000000,-55.0439069135
0.4190000000,-55.4181336001
0.4200000000,-55.7939614091
0.4210000000,-56.1713930088
0.4220000000,-56.5504310637
0.4230000000,-56.9310782343
0.4240000000,-57.3133371773
0.4250000000,-57.6972105458
0.4260000000,-58.0827009888
0.4270000000,-58.4698111517
0.4280000000,-58.8585436760
0.4290000000,-59.2489011993
0.4300000000,-59.6408863558
0.4310000000,-60.0345017755
0.4320000000,-60.4297500848
0.4330000000,-60.8266339066
0.4340000000,-61.2251558595
0.4350000000,-61.6253185590
0.4360000000,-62.0271246164
0.4370000000,-62.4305766394
0.4380000000,-62.8356772321
0.4390000000,-63.2424289948
0.4400000000,-63.6508345242
0.4410000000,-64.0608964131
0.4420000000,-64.4726172509
0.4430000000,-64.8859996231
0.4440000000,-65.3010461117
0.4450000000,-65.7177592949
0.4460000000,-66.1361417474
0.4470000000,-66.5561960401
0.4480000000,-66.9779247405
0.4490000000,-67.4013304122
0.4500000000,-67.8264156154
0.4510000000,-68.2531829067
0.4520000000,-68.6816348388
0.4530000000,-69.1117739612
0.4540000000,-69.5436028197
0.4550000000,-69.9771239563
0.4560000000,-70.4123399097
0.4570000000,-70.8492532150
0.4580000000,-71.2878664036
0.4590000000,-71.7281820036
0.4600000000,-72.1702025393
0.4610000000,-72.6139305316
0.4620000000,-73.0593684980
0.4630000000,-73.5065189522
0.4640000000,-73.9553844047
0.4650000000,-74.4059673623
0.4660000000,-74.8582703284
0.4670000000,-75.3122958029
0.4680000000,-75.7680462822
0.4690000000,-76.2255242594
0.4700000000,-76.6847322238
0.4710000000,-77.1456726616
0.4720000000,-77.6083480554
0.4730000000,-78.0727608843
0.4740000000,-78.5389136241
0.4750000000,-79.0068087471
0.4760000000,-79.4764487223
0.4770000000,-79.9478360152
0.4780000000,-80.4209730878
0.4790000000,-80.8958623990
0.4800000000,-81.3725064040
0.4810000000,-81.8509075549
0.4820000000,-82.3310683002
0.4830000000,-82.8129910852
0.4840000000,-83.2966783517
0.4850000000,-83.7821325384
0.4860000000,-84.2693560804
0.4870000000,-84.7583514096
0.4880000000,-85.2491209545
0.4890000000,-85.7416671405
0.4900000000,-86.2359923893
0.4910000000,-86.7320991197
0.4920000000,-87.2299897470
0.4930000000,-87.7296666832
0.4940000000,-88.2311323371
0.4950000000,-88.7343891141
0.4960000000,-89.2394394166
0.4970000000,-89.7462856434
0.4980000000,-90.2549301902
0.4990000000,-90.7653754496
0.5000000000,-91.2776238108
0.5010000000,-91.7916776597
0.5020000000,-92.3075393791
0.5030000000,-92.8252113487
0.5040000000,-93.3446959447
0.5050000000,-93.8659955402
0.5060000000,-94.3891125053
0.5070000000,-94.9140492067
0.5080000000,-95.4408080080
0.5090000000,-95.9693912695
0.5100000000,-96.4998013485
0.5110000000,-97.0320405991
0.5120000000,-97.5661113722
0.5130000000,-98.1020160155
0.5140000000,-98.6397568737
0.5150000000,-99.1793362882
0.5160000000,-99.7207565975
0.5170000000,-100.2640201368
0.5180000000,-100.8091292381
0.5190000000,-101.3560862306
0.5200000000,-101.9048934401
0.5210000000,-102.4555531895
0.5220000000,-103.0080677984
0.5230000000,-103.5624395836
0.5240000000,-104.1186708586
0.5250000000,-104.6767639340
0.5260000000,-105.2367211171
0.5270000000,-105.7985447125
0.5280000000,-106.3622370213
0.5290000000,-106.9278003420
0.5300000000,-107.4952369698
0.5310000000,-108.0645491970
0.5320000000,-108.6357393127
0.5330000000,-109.2088096031
0.5340000000,-109.7837623515
0.5350000000,-110.3605998381
0.5360000000,-110.9393243400
0.5370000000,-111.5199381314
0.5380000000,-112.1024434836
0.5390000000,-112.6868426648
0.5400000000,-113.2731379402
0.5410000000,-113.8613315722
0.5420000000,-114.4514258201
0.5430000000,-115.0434229403
0.5440000000,-115.6373251862
0.5450000000,-116.2331348084
0.5460000000,-116.8308540544
0.5470000000,-117.4304851688
0.5480000000,-118.0320303934
0.5490000000,-118.6354919670
0.5500000000,-119.2408721255
0.5510000000,-119.8481731019
0.5520000000,-120.4573971263
0.5530000000,-121.0685464258
0.5540000000,-121.6816232248
0.5550000000,-122.2966297448
0.5560000000,-122.9135682042
0.5570000000,-123.5324408189
0.5580000000,-124.1532498017
0.5590000000,-124.7759973625
0.5600000000,-125.4006857085
0.5610000000,-126.0273170439
0.5620000000,-126.6558935703
0.5630000000,-127.2864174863
0.5640000000,-127.9188909877
0.5650000000,-128.5533162674
0.5660000000,-129.1896955157
0.5670000000,-129.8280309199
0.5680000000,-130.4683246645
0.5690000000,-131.1105789314
0.5700000000,-131.7547958996
0.5710000000,-132.4009777451
0.5720000000,-133.0491266415
0.5730000000,-133.6992447593
0.5740000000,-134.3513342666
0.5750000000,-135.0053973283
0.5760000000,-135.6614361069
0.5770000000,-136.3194527619
0.5780000000,-136.9794494503
0.5790000000,-137.6414283262
0.5800000000,-138.3053915409
0.5810000000,-138.9713412432
0.5820000000,-139.6392795791
0.5830000000,-140.3092086916
0.5840000000,-140.9811307215
0.5850000000,-141.6550478065
0.5860000000,-142.3309620818
0.5870000000,-143.0088756798
0.5880000000,-143.6887907301
0.5890000000,-144.3707093600
0.5900000000,-145.0546336939
0.5910000000,-145.7405658533
0.5920000000,-146.4285079574
0.5930000000,-147.1184621227
0.5940000000,-147.8104304627
0.5950000000,-148.5044150887
0.5960000000,-149.2004181091
0.5970000000,-149.8984416296
0.5980000000,-150.5984877536
0.5990000000,-151.3005585815
0.6000000000,-152.0046562113
0.6010000000,-152.7107827383
0.6020000000,-153.4189402551
0.6030000000,-154.1291308521
0.6040000000,-154.8413566165
0.6050000000,-155.5556196333
0.6060000000,-156.2719219850
0.6070000000,-156.9902657511
0.6080000000,-157.7106530088
0.6090000000,-158.4330858328
0.6100000000,-159.1575662950
0.6110000000,-159.8840964650
0.6120000000,-160.6126784095
0.6130000000,-161.3433141930
0.6140000000,-162.0760058772
0.6150000000,-162.8107555214
0.6160000000,-163.5475651823
0.6170000000,-164.2864369142
0.6180000000,-165.0273727685
0.6190000000,-165.7703747946
0.6200000000,-166.5154450390
0.6210000000,-167.2625855458
0.6220000000,-168.0117983567
0.6230000000,-168.7630855106
0.6240000000,-169.5164490443
0.6250000000,-170.2718909919
0.6260000000,-171.0294133850
0.6270000000,-171.7890182526
0.6280000000,-172.5507076216
0.6290000000,-173.3144835161
0.6300000000,-174.0803479579
0.6310000000,-174.8483029661
0.6320000000,-175.6183505577
0.6330000000,-176.3904927470
0.6340000000,-177.1647315459
0.6350000000,-177.9410689640
0.6360000000,-178.7195070082
0.6370000000,-179.5000476831
0.6380000000,-180.2826929910
0.6390000000,-181.0674449316
0.6400000000,-181.8543055023
0.6410000000,-182.6432766980
0.6420000000,-183.4343605112
0.6430000000,-184.2275589321
0.6440000000,-185.0228739483
0.6450000000,-185.8203075453
0.6460000000,-186.6198617060
0.6470000000,-187.4215384108
0.6480000000,-188.2253396382
0.6490000000,-189.0312673637
0.6500000000,-189.8393235609
0.6510000000,-190.6495102009
0.6520000000,-191.4618292524
0.6530000000,-192.2762826817
0.6540000000,-193.0928724529
0.6550000000,-193.9116005276
0.6560000000,-194.7324688652
0.6570000000,-195.5554794227
0.6580000000,-196.3806341546
0.6590000000,-197.2079350135
0.6600000000,-198.0373839492
0.6610000000,-198.8689829094
0.6620000000,-199.7027338396
0.6630000000,-200.5386386829
0.6640000000,-201.3766993799
