# Descripiton: Analise de Erro na Distribuicao de Distancia de Luminosidade exata e Aproximada
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,-0.0000021154
0.0020000000,-0.0000169167
0.0030000000,-0.0000570725
0.0040000000,-0.0001352319
0.0050000000,-0.0002640251
0.0060000000,-0.0004560627
0.0070000000,-0.0007239361
0.0080000000,-0.0010802173
0.0090000000,-0.0015374588
0.0100000000,-0.0021081934
0.0110000000,-0.0028049346
0.0120000000,-0.0036401759
0.0130000000,-0.0046263914
0.0140000000,-0.0057760352
0.0150000000,-0.0071015418
0.0160000000,-0.0086153255
0.0170000000,-0.0103297810
0.0180000000,-0.0122572828
0.0190000000,-0.0144101854
0.0200000000,-0.0168008233
0.0210000000,-0.0194415107
0.0220000000,-0.0223445417
0.0230000000,-0.0255221901
0.0240000000,-0.0289867094
0.0250000000,-0.0327503330
0.0260000000,-0.0368252735
0.0270000000,-0.0412237233
0.0280000000,-0.0459578542
0.0290000000,-0.0510398177
0.0300000000,-0.0564817444
0.0310000000,-0.0622957445
0.0320000000,-0.0684939074
0.0330000000,-0.0750883019
0.0340000000,-0.0820909760
0.0350000000,-0.0895139568
0.0360000000,-0.0973692507
0.0370000000,-0.1056688432
0.0380000000,-0.1144246989
0.0390000000,-0.1236487613
0.0400000000,-0.1333529530
0.0410000000,-0.1435491756
0.0420000000,-0.1542493095
0.0430000000,-0.1654652142
0.0440000000,-0.1772087278
0.0450000000,-0.1894916673
0.0460000000,-0.2023258287
0.0470000000,-0.2157229864
0.0480000000,-0.2296948938
0.0490000000,-0.2442532827
0.0500000000,-0.2594098638
0.0510000000,-0.2751763263
0.0520000000,-0.2915643380
0.0530000000,-0.3085855451
0.0540000000,-0.3262515727
0.0550000000,-0.3445740240
0.0560000000,-0.3635644809
0.0570000000,-0.3832345035
0.0580000000,-0.4035956307
0.0590000000,-0.4246593793
0.0600000000,-0.4464372448
0.0610000000,-0.4689407009
0.0620000000,-0.4921811995
0.0630000000,-0.5161701711
0.0640000000,-0.5409190240
0.0650000000,-0.5664391451
0.0660000000,-0.5927418993
0.0670000000,-0.6198386298
0.0680000000,-0.6477406578
0.0690000000,-0.6764592829
0.0700000000,-0.7060057824
0.0710000000,-0.7363914121
0.0720000000,-0.7676274057
