# Descripiton: Analise de Erro na Distribuicao de Distancia de Luminosidade exata e Aproximada
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,-0.0000012437
0.0020000000,-0.0000099492
0.0030000000,-0.0000335766
0.0040000000,-0.0000795842
0.0050000000,-0.0001554287
0.0060000000,-0.0002685646
0.0070000000,-0.0004264449
0.0080000000,-0.0006365204
0.0090000000,-0.0009062402
0.0100000000,-0.0012430512
0.0110000000,-0.0016543985
0.0120000000,-0.0021477250
0.0130000000,-0.0027304717
0.0140000000,-0.0034100774
0.0150000000,-0.0041939788
0.0160000000,-0.0050896105
0.0170000000,-0.0061044048
0.0180000000,-0.0072457920
0.0190000000,-0.0085211999
0.0200000000,-0.0099380543
0.0210000000,-0.0115037784
0.0220000000,-0.0132257933
0.0230000000,-0.0151115178
0.0240000000,-0.0171683680
0.0250000000,-0.0194037578
0.0260000000,-0.0218250988
0.0270000000,-0.0244397997
0.0280000000,-0.0272552671
0.0290000000,-0.0302789048
0.0300000000,-0.0335181143
0.0310000000,-0.0369802942
0.0320000000,-0.0406728408
0.0330000000,-0.0446031474
0.0340000000,-0.0487786049
0.0350000000,-0.0532066014
0.0360000000,-0.0578945223
0.0370000000,-0.0628497501
0.0380000000,-0.0680796648
0.0390000000,-0.0735916433
0.0400000000,-0.0793930597
0.0410000000,-0.0854912854
0.0420000000,-0.0918936887
0.0430000000,-0.0986076351
0.0440000000,-0.1056404871
0.0450000000,-0.1129996042
0.0460000000,-0.1206923429
0.0470000000,-0.1287260566
0.0480000000,-0.1371080959
0.0490000000,-0.1458458079
0.0500000000,-0.1549465369
0.0510000000,-0.1644176239
0.0520000000,-0.1742664068
0.0530000000,-0.1845002202
0.0540000000,-0.1951263957
0.0550000000,-0.2061522613
0.0560000000,-0.2175851421
0.0570000000,-0.2294323596
0.0580000000,-0.2417012321
0.0590000000,-0.2543990745
0.0600000000,-0.2675331984
0.0610000000,-0.2811109119
0.0620000000,-0.2951395197
0.0630000000,-0.3096263230
0.0640000000,-0.3245786196
0.0650000000,-0.3400037037
0.0660000000,-0.3559088660
0.0670000000,-0.3723013937
0.0680000000,-0.3891885702
0.0690000000,-0.4065776757
0.0700000000,-0.4244759862
0.0710000000,-0.4428907746
0.0720000000,-0.4618293097
0.0730000000,-0.4812988567
0.0740000000,-0.5013066773
0.0750000000,-0.5218600291
0.0760000000,-0.5429661660
0.0770000000,-0.5646323383
0.0780000000,-0.5868657923
0.0790000000,-0.6096737704
0.0800000000,-0.6330635112
0.0810000000,-0.6570422493
0.0820000000,-0.6816172155
0.0830000000,-0.7067956366
0.0840000000,-0.7325847355
0.0850000000,-0.7589917308
0.0860000000,-0.7860238375
0.0870000000,-0.8136882661
0.0880000000,-0.8419922235
0.0890000000,-0.8709429122
0.0900000000,-0.9005475307
0.0910000000,-0.9308132732
0.0920000000,-0.9617473300
0.0930000000,-0.9933568870
0.0940000000,-1.0256491260
0.0950000000,-1.0586312245
0.0960000000,-1.0923103558
0.0970000000,-1.1266936890
0.0980000000,-1.1617883887
0.0990000000,-1.1976016153
0.1000000000,-1.2341405250
0.1010000000,-1.2714122693
0.1020000000,-1.3094239957
0.1030000000,-1.3481828470
0.1040000000,-1.3876959617
0.1050000000,-1.4279704738
0.1060000000,-1.4690135128
0.1070000000,-1.5108322040
0.1080000000,-1.5534336677
0.1090000000,-1.5968250200
0.1100000000,-1.6410133724
0.1110000000,-1.6860058318
0.1120000000,-1.7318095005
0.1130000000,-1.7784314761
0.1140000000,-1.8258788517
0.1150000000,-1.8741587156
0.1160000000,-1.9232781516
0.1170000000,-1.9732442386
0.1180000000,-2.0240640510
0.1190000000,-2.0757446582
0.1200000000,-2.1282931251
0.1210000000,-2.1817165116
0.1220000000,-2.2360218730
0.1230000000,-2.2912162596
0.1240000000,-2.3473067170
0.1250000000,-2.4043002859
0.1260000000,-2.4622040020
0.1270000000,-2.5210248964
0.1280000000,-2.5807699949
0.1290000000,-2.6414463187
0.1300000000,-2.7030608838
0.1310000000,-2.7656207014
0.1320000000,-2.8291327777
0.1330000000,-2.8936041137
0.1340000000,-2.9590417056
0.1350000000,-3.0254525444
0.1360000000,-3.0928436161
0.1370000000,-3.1612219016
0.1380000000,-3.2305943767
0.1390000000,-3.3009680122
0.1400000000,-3.3723497735
0.1410000000,-3.4447466210
0.1420000000,-3.5181655100
0.1430000000,-3.5926133904
0.1440000000,-3.6680972071
0.1450000000,-3.7446238997
0.1460000000,-3.8222004025
0.1470000000,-3.9008336445
0.1480000000,-3.9805305496
0.1490000000,-4.0612980363
0.1500000000,-4.1431430177
0.1510000000,-4.2260724018
0.1520000000,-4.3100930909
0.1530000000,-4.3952119824
0.1540000000,-4.4814359679
0.1550000000,-4.5687719338
0.1560000000,-4.6572267611
0.1570000000,-4.7468073252
0.1580000000,-4.8375204963
0.1590000000,-4.9293731390
0.1600000000,-5.0223721124
0.1610000000,-5.1165242702
0.1620000000,-5.2118364605
0.1630000000,-5.3083155259
0.1640000000,-5.4059683035
0.1650000000,-5.5048016247
0.1660000000,-5.6048223156
0.1670000000,-5.7060371964
0.1680000000,-5.8084530819
0.1690000000,-5.9120767813
0.1700000000,-6.0169150980
0.1710000000,-6.1229748299
0.1720000000,-6.2302627691
0.1730000000,-6.3387857022
0.1740000000,-6.4485504100
0.1750000000,-6.5595636675
0.1760000000,-6.6718322441
0.1770000000,-6.7853629036
0.1780000000,-6.9001624037
0.1790000000,-7.0162374966
0.1800000000,-7.1335949287
0.1810000000,-7.2522414404
0.1820000000,-7.3721837666
0.1830000000,-7.4934286362
0.1840000000,-7.6159827722
0.1850000000,-7.7398528919
0.1860000000,-7.8650457067
0.1870000000,-7.9915679220
0.1880000000,-8.1194262376
0.1890000000,-8.2486273470
0.1900000000,-8.3791779381
0.1910000000,-8.5110846927
0.1920000000,-8.6443542869
0.1930000000,-8.7789933904
0.1940000000,-8.9150086674
0.1950000000,-9.0524067759
0.1960000000,-9.1911943678
0.1970000000,-9.3313780892
0.1980000000,-9.4729645802
0.1990000000,-9.6159604746
0.2000000000,-9.7603724004
0.2010000000,-9.9062069794
0.2020000000,-10.0534708276
0.2030000000,-10.2021705545
0.2040000000,-10.3523127639
0.2050000000,-10.5039040532
0.2060000000,-10.6569510139
0.2070000000,-10.8114602313
0.2080000000,-10.9674382845
0.2090000000,-11.1248917466
0.2100000000,-11.2838271843
