# Descripiton: Distribuicao de Distancia de Luminosidade Aproximada
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.4131213303
0.0020000000,8.8350600858
0.0030000000,13.2658162665
0.0040000000,17.7053898725
0.0050000000,22.1537809037
0.0060000000,26.6109893601
0.0070000000,31.0770152418
0.0080000000,35.5518585487
0.0090000000,40.0355192809
0.0100000000,44.5279974382
0.0110000000,49.0292930209
0.0120000000,53.5394060287
0.0130000000,58.0583364618
0.0140000000,62.5860843201
0.0150000000,67.1226496037
0.0160000000,71.6680323125
0.0170000000,76.2222324465
0.0180000000,80.7852500058
0.0190000000,85.3570849903
0.0200000000,89.9377374000
0.0210000000,94.5272072350
0.0220000000,99.1254944952
0.0230000000,103.7325991806
0.0240000000,108.3485212913
0.0250000000,112.9732608272
0.0260000000,117.6068177884
0.0270000000,122.2491921747
0.0280000000,126.9003839864
0.0290000000,131.5603932232
0.0300000000,136.2292198853
0.0310000000,140.9068639726
0.0320000000,145.5933254852
0.0330000000,150.2886044230
0.0340000000,154.9927007860
0.0350000000,159.7056145743
0.0360000000,164.4273457878
0.0370000000,169.1578944265
0.0380000000,173.8972604905
0.0390000000,178.6454439797
0.0400000000,183.4024448941
0.0410000000,188.1682632338
0.0420000000,192.9428989987
0.0430000000,197.7263521889
0.0440000000,202.5186228042
0.0450000000,207.3197108449
0.0460000000,212.1296163107
0.0470000000,216.9483392018
0.0480000000,221.7758795181
0.0490000000,226.6122372597
0.0500000000,231.4574124265
0.0510000000,236.3114050185
0.0520000000,241.1742150358
0.0530000000,246.0458424783
0.0540000000,250.9262873460
0.0550000000,255.8155496390
0.0560000000,260.7136293572
0.0570000000,265.6205265006
0.0580000000,270.5362410693
0.0590000000,275.4607730632
0.0600000000,280.3941224824
0.0610000000,285.3362893267
0.0620000000,290.2872735964
0.0630000000,295.2470752912
0.0640000000,300.2156944113
0.0650000000,305.1931309566
0.0660000000,310.1793849272
0.0670000000,315.1744563230
0.0680000000,320.1783451440
0.0690000000,325.1910513903
0.0700000000,330.2125750618
0.0710000000,335.2429161585
0.0720000000,340.2820746805
0.0730000000,345.3300506277
0.0740000000,350.3868440001
0.0750000000,355.4524547978
0.0760000000,360.5268830207
0.0770000000,365.6101286689
0.0780000000,370.7021917422
0.0790000000,375.8030722409
0.0800000000,380.9127701647
0.0810000000,386.0312855138
0.0820000000,391.1586182881
0.0830000000,396.2947684877
0.0840000000,401.4397361125
0.0850000000,406.5935211625
0.0860000000,411.7561236378
0.0870000000,416.9275435383
0.0880000000,422.1077808640
0.0890000000,427.2968356150
0.0900000000,432.4947077912
0.0910000000,437.7013973926
0.0920000000,442.9169044193
0.0930000000,448.1412288712
0.0940000000,453.3743707484
0.0950000000,458.6163300507
0.0960000000,463.8671067784
0.0970000000,469.1267009312
0.0980000000,474.3951125093
0.0990000000,479.6723415126
0.1000000000,484.9583879412
0.1010000000,490.2532517950
0.1020000000,495.5569330740
0.1030000000,500.8694317783
0.1040000000,506.1907479078
0.1050000000,511.5208814625
0.1060000000,516.8598324425
0.1070000000,522.2076008477
0.1080000000,527.5641866781
0.1090000000,532.9295899338
0.1100000000,538.3038106147
0.1110000000,543.6868487209
0.1120000000,549.0787042522
0.1130000000,554.4793772089
0.1140000000,559.8888675907
0.1150000000,565.3071753978
0.1160000000,570.7343006301
0.1170000000,576.1702432877
0.1180000000,581.6150033705
0.1190000000,587.0685808785
0.1200000000,592.5309758118
0.1210000000,598.0021881703
0.1220000000,603.4822179540
0.1230000000,608.9710651630
0.1240000000,614.4687297972
0.1250000000,619.9752118566
0.1260000000,625.4905113413
0.1270000000,631.0146282512
0.1280000000,636.5475625864
0.1290000000,642.0893143467
0.1300000000,647.6398835324
0.1310000000,653.1992701432
0.1320000000,658.7674741793
0.1330000000,664.3444956406
0.1340000000,669.9303345272
0.1350000000,675.5249908390
0.1360000000,681.1284645760
0.1370000000,686.7407557383
0.1380000000,692.3618643258
0.1390000000,697.9917903385
0.1400000000,703.6305337765
0.1410000000,709.2780946397
0.1420000000,714.9344729281
0.1430000000,720.5996686418
0.1440000000,726.2736817807
0.1450000000,731.9565123449
0.1460000000,737.6481603342
0.1470000000,743.3486257489
0.1480000000,749.0579085887
0.1490000000,754.7760088538
0.1500000000,760.5029265441
0.1510000000,766.2386616597
0.1520000000,771.9832142005
0.1530000000,777.7365841665
0.1540000000,783.4987715578
0.1550000000,789.2697763743
0.1560000000,795.0495986160
0.1570000000,800.8382382830
0.1580000000,806.6356953752
0.1590000000,812.4419698926
0.1600000000,818.2570618353
0.1610000000,824.0809712032
0.1620000000,829.9136979964
0.1630000000,835.7552422147
0.1640000000,841.6056038584
0.1650000000,847.4647829272
0.1660000000,853.3327794213
0.1670000000,859.2095933406
0.1680000000,865.0952246852
0.1690000000,870.9896734550
0.1700000000,876.8929396500
0.1710000000,882.8050232703
0.1720000000,888.7259243158
0.1730000000,894.6556427865
0.1740000000,900.5941786825
0.1750000000,906.5415320037
0.1760000000,912.4977027501
0.1770000000,918.4626909218
0.1780000000,924.4364965187
0.1790000000,930.4191195409
0.1800000000,936.4105599882
0.1810000000,942.4108178609
0.1820000000,948.4198931587
0.1830000000,954.4377858818
0.1840000000,960.4644960301
0.1850000000,966.5000236037
0.1860000000,972.5443686025
0.1870000000,978.5975310265
0.1880000000,984.6595108758
0.1890000000,990.7303081503
0.1900000000,996.8099228500
0.1910000000,1002.8983549750
0.1920000000,1008.9956045252
0.1930000000,1015.1016715006
0.1940000000,1021.2165559013
0.1950000000,1027.3402577272
0.1960000000,1033.4727769784
0.1970000000,1039.6141136547
0.1980000000,1045.7642677564
0.1990000000,1051.9232392832
0.2000000000,1058.0910282353
0.2010000000,1064.2676346126
0.2020000000,1070.4530584152
0.2030000000,1076.6472996430
0.2040000000,1082.8503582960
0.2050000000,1089.0622343743
0.2060000000,1095.2829278778
0.2070000000,1101.5124388065
0.2080000000,1107.7507671605
0.2090000000,1113.9979129397
0.2100000000,1120.2538761441
0.2110000000,1126.5186567738
0.2120000000,1132.7922548287
0.2130000000,1139.0746703089
0.2140000000,1145.3659032142
0.2150000000,1151.6659535449
0.2160000000,1157.9748213007
0.2170000000,1164.2925064818
0.2180000000,1170.6190090881
0.2190000000,1176.9543291197
0.2200000000,1183.2984665765
0.2210000000,1189.6514214585
0.2220000000,1196.0131937658
0.2230000000,1202.3837834983
0.2240000000,1208.7631906560
0.2250000000,1215.1514152390
0.2260000000,1221.5484572472
0.2270000000,1227.9543166806
0.2280000000,1234.3689935393
0.2290000000,1240.7924878232
0.2300000000,1247.2247995324
0.2310000000,1253.6659286667
0.2320000000,1260.1158752264
0.2330000000,1266.5746392112
0.2340000000,1273.0422206213
0.2350000000,1279.5186194566
0.2360000000,1286.0038357172
0.2370000000,1292.4978694030
0.2380000000,1299.0007205140
0.2390000000,1305.5123890503
0.2400000000,1312.0328750118
0.2410000000,1318.5621783985
0.2420000000,1325.1002992105
0.2430000000,1331.6472374477
0.2440000000,1338.2029931101
0.2450000000,1344.7675661978
0.2460000000,1351.3409567107
0.2470000000,1357.9231646489
0.2480000000,1364.5141900122
0.2490000000,1371.1140328009
0.2500000000,1377.7226930147
0.2510000000,1384.3401706538
0.2520000000,1390.9664657181
0.2530000000,1397.6015782077
0.2540000000,1404.2455081225
0.2550000000,1410.8982554625
0.2560000000,1417.5598202278
0.2570000000,1424.2302024183
0.2580000000,1430.9094020340
0.2590000000,1437.5974190750
0.2600000000,1444.2942535412
0.2610000000,1450.9999054326
0.2620000000,1457.7143747493
0.2630000000,1464.4376614912
0.2640000000,1471.1697656584
0.2650000000,1477.9106872507
0.2660000000,1484.6604262684
0.2670000000,1491.4189827112
0.2680000000,1498.1863565793
0.2690000000,1504.9625478726
0.2700000000,1511.7475565912
0.2710000000,1518.5413827350
0.2720000000,1525.3440263040
0.2730000000,1532.1554872983
0.2740000000,1538.9757657178
0.2750000000,1545.8048615625
0.2760000000,1552.6427748325
0.2770000000,1559.4895055277
0.2780000000,1566.3450536481
0.2790000000,1573.2094191938
0.2800000000,1580.0826021647
0.2810000000,1586.9646025609
0.2820000000,1593.8554203822
0.2830000000,1600.7550556289
0.2840000000,1607.6635083007
0.2850000000,1614.5807783978
0.2860000000,1621.5068659201
0.2870000000,1628.4417708677
0.2880000000,1635.3854932405
0.2890000000,1642.3380330385
0.2900000000,1649.2993902618
0.2910000000,1656.2695649103
0.2920000000,1663.2485569840
0.2930000000,1670.2363664830
0.2940000000,1677.2329934072
0.2950000000,1684.2384377566
0.2960000000,1691.2526995313
0.2970000000,1698.2757787312
0.2980000000,1705.3076753564
0.2990000000,1712.3483894067
0.3000000000,1719.3979208824
0.3010000000,1726.4562697832
0.3020000000,1733.5234361093
0.3030000000,1740.5994198606
0.3040000000,1747.6842210372
0.3050000000,1754.7778396390
0.3060000000,1761.8802756660
0.3070000000,1768.9915291183
0.3080000000,1776.1115999958
0.3090000000,1783.2404882985
0.3100000000,1790.3781940265
0.3110000000,1797.5247171797
0.3120000000,1804.6800577581
0.3130000000,1811.8442157618
0.3140000000,1819.0171911907
0.3150000000,1826.1989840449
0.3160000000,1833.3895943242
0.3170000000,1840.5890220289
0.3180000000,1847.7972671587
0.3190000000,1855.0143297138
0.3200000000,1862.2402096941
0.3210000000,1869.4749070997
0.3220000000,1876.7184219305
0.3230000000,1883.9707541865
0.3240000000,1891.2319038678
0.3250000000,1898.5018709743
0.3260000000,1905.7806555060
0.3270000000,1913.0682574630
0.3280000000,1920.3646768452
0.3290000000,1927.6699136526
0.3300000000,1934.9839678853
0.3310000000,1942.3068395432
0.3320000000,1949.6385286264
0.3330000000,1956.9790351347
0.3340000000,1964.3283590684
0.3350000000,1971.6865004272
0.3360000000,1979.0534592113
0.3370000000,1986.4292354206
0.3380000000,1993.8138290552
0.3390000000,2001.2072401150
0.3400000000,2008.6094686000
0.3410000000,2016.0205145103
0.3420000000,2023.4403778458
0.3430000000,2030.8690586065
0.3440000000,2038.3065567925
0.3450000000,2045.7528724037
0.3460000000,2053.2080054401
0.3470000000,2060.6719559018
0.3480000000,2068.1447237887
0.3490000000,2075.6263091009
0.3500000000,2083.1167118382
0.3510000000,2090.6159320009
0.3520000000,2098.1239695887
0.3530000000,2105.6408246018
0.3540000000,2113.1664970401
0.3550000000,2120.7009869037
0.3560000000,2128.2442941925
0.3570000000,2135.7964189065
0.3580000000,2143.3573610458
0.3590000000,2150.9271206103
0.3600000000,2158.5056976000
0.3610000000,2166.0930920150
0.3620000000,2173.6893038552
0.3630000000,2181.2943331206
0.3640000000,2188.9081798113
0.3650000000,2196.5308439272
0.3660000000,2204.1623254684
0.3670000000,2211.8026244347
0.3680000000,2219.4517408264
0.3690000000,2227.1096746432
0.3700000000,2234.7764258853
0.3710000000,2242.4519945526
0.3720000000,2250.1363806452
0.3730000000,2257.8295841630
0.3740000000,2265.5316051060
0.3750000000,2273.2424434743
0.3760000000,2280.9620992678
0.3770000000,2288.6905724865
0.3780000000,2296.4278631305
0.3790000000,2304.1739711997
0.3800000000,2311.9288966941
0.3810000000,2319.6926396138
0.3820000000,2327.4651999587
0.3830000000,2335.2465777289
0.3840000000,2343.0367729242
0.3850000000,2350.8357855449
0.3860000000,2358.6436155907
0.3870000000,2366.4602630618
0.3880000000,2374.2857279581
0.3890000000,2382.1200102797
