# Descripiton: Distribuicao de Distancia de Luminosidade Aproximada
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.4115782808
0.0020000000,8.8288878881
0.0030000000,13.2519288218
0.0040000000,17.6807010818
0.0050000000,22.1152046683
0.0060000000,26.5554395811
0.0070000000,31.0014058204
0.0080000000,35.4531033861
0.0090000000,39.9105322781
0.0100000000,44.3736924966
0.0110000000,48.8425840415
0.0120000000,53.3172069128
0.0130000000,57.7975611105
0.0140000000,62.2836466345
0.0150000000,66.7754634850
0.0160000000,71.2730116619
0.0170000000,75.7762911652
0.0180000000,80.2853019949
0.0190000000,84.8000441510
0.0200000000,89.3205176335
0.0210000000,93.8467224424
0.0220000000,98.3786585777
0.0230000000,102.9163260395
0.0240000000,107.4597248276
0.0250000000,112.0088549421
0.0260000000,116.5637163830
0.0270000000,121.1243091503
0.0280000000,125.6906332441
0.0290000000,130.2626886642
0.0300000000,134.8404754107
0.0310000000,139.4239934837
0.0320000000,144.0132428830
0.0330000000,148.6082236088
0.0340000000,153.2089356609
0.0350000000,157.8153790394
0.0360000000,162.4275537444
0.0370000000,167.0454597758
0.0380000000,171.6690971335
0.0390000000,176.2984658177
0.0400000000,180.9335658282
0.0410000000,185.5743971652
0.0420000000,190.2209598286
0.0430000000,194.8732538183
0.0440000000,199.5312791345
0.0450000000,204.1950357771
0.0460000000,208.8645237461
0.0470000000,213.5397430415
0.0480000000,218.2206936632
0.0490000000,222.9073756114
0.0500000000,227.5997888860
0.0510000000,232.2979334870
0.0520000000,237.0018094144
0.0530000000,241.7114166682
0.0540000000,246.4267552484
0.0550000000,251.1478251550
0.0560000000,255.8746263880
0.0570000000,260.6071589475
0.0580000000,265.3454228333
0.0590000000,270.0894180455
0.0600000000,274.8391445841
0.0610000000,279.5946024491
0.0620000000,284.3557916406
0.0630000000,289.1227121584
0.0640000000,293.8953640026
0.0650000000,298.6737471733
0.0660000000,303.4578616703
0.0670000000,308.2477074938
0.0680000000,313.0432846436
0.0690000000,317.8445931198
0.0700000000,322.6516329225
0.0710000000,327.4644040516
0.0720000000,332.2829065070
0.0730000000,337.1071402889
0.0740000000,341.9371053971
0.0750000000,346.7728018318
0.0760000000,351.6142295929
0.0770000000,356.4613886803
0.0780000000,361.3142790942
0.0790000000,366.1729008345
0.0800000000,371.0372539012
0.0810000000,375.9073382943
0.0820000000,380.7831540137
0.0830000000,385.6647010596
0.0840000000,390.5519794319
0.0850000000,395.4449891306
0.0860000000,400.3437301557
0.0870000000,405.2482025072
0.0880000000,410.1584061851
0.0890000000,415.0743411894
0.0900000000,419.9960075201
0.0910000000,424.9234051773
0.0920000000,429.8565341608
0.0930000000,434.7953944707
0.0940000000,439.7399861070
0.0950000000,444.6903090697
0.0960000000,449.6463633589
0.0970000000,454.6081489744
0.0980000000,459.5756659163
0.0990000000,464.5489141847
0.1000000000,469.5278937794
0.1010000000,474.5126047006
0.1020000000,479.5030469481
0.1030000000,484.4992205220
0.1040000000,489.5011254224
0.1050000000,494.5087616492
0.1060000000,499.5221292023
0.1070000000,504.5412280819
0.1080000000,509.5660582878
0.1090000000,514.5966198202
0.1100000000,519.6329126790
0.1110000000,524.6749368641
0.1120000000,529.7226923757
0.1130000000,534.7761792137
0.1140000000,539.8353973781
0.1150000000,544.9003468689
0.1160000000,549.9710276860
0.1170000000,555.0474398296
0.1180000000,560.1295832996
0.1190000000,565.2174580960
0.1200000000,570.3110642188
0.1210000000,575.4104016680
0.1220000000,580.5154704436
0.1230000000,585.6262705456
0.1240000000,590.7428019740
0.1250000000,595.8650647289
0.1260000000,600.9930588101
0.1270000000,606.1267842177
0.1280000000,611.2662409517
0.1290000000,616.4114290121
0.1300000000,621.5623483990
0.1310000000,626.7189991122
0.1320000000,631.8813811518
0.1330000000,637.0494945179
0.1340000000,642.2233392103
0.1350000000,647.4029152292
0.1360000000,652.5882225744
0.1370000000,657.7792612460
0.1380000000,662.9760312441
0.1390000000,668.1785325686
0.1400000000,673.3867652194
0.1410000000,678.6007291967
0.1420000000,683.8204245003
0.1430000000,689.0458511304
0.1440000000,694.2770090869
0.1450000000,699.5138983697
0.1460000000,704.7565189790
0.1470000000,710.0048709147
0.1480000000,715.2589541768
0.1490000000,720.5187687653
0.1500000000,725.7843146801
0.1510000000,731.0555919214
0.1520000000,736.3326004891
0.1530000000,741.6153403832
0.1540000000,746.9038116037
0.1550000000,752.1980141506
0.1560000000,757.4979480239
0.1570000000,762.8036132236
0.1580000000,768.1150097497
0.1590000000,773.4321376023
0.1600000000,778.7549967812
0.1610000000,784.0835872865
0.1620000000,789.4179091182
0.1630000000,794.7579622763
0.1640000000,800.1037467609
0.1650000000,805.4552625718
0.1660000000,810.8125097091
0.1670000000,816.1754881729
0.1680000000,821.5441979630
0.1690000000,826.9186390796
0.1700000000,832.2988115225
0.1710000000,837.6847152918
0.1720000000,843.0763503876
0.1730000000,848.4737168098
0.1740000000,853.8768145583
0.1750000000,859.2856436333
0.1760000000,864.7002040346
0.1770000000,870.1204957624
0.1780000000,875.5465188166
0.1790000000,880.9782731971
0.1800000000,886.4157589041
0.1810000000,891.8589759375
0.1820000000,897.3079242973
0.1830000000,902.7626039835
0.1840000000,908.2230149960
0.1850000000,913.6891573350
0.1860000000,919.1610310004
0.1870000000,924.6386359922
0.1880000000,930.1219723104
0.1890000000,935.6110399550
0.1900000000,941.1058389260
0.1910000000,946.6063692234
0.1920000000,952.1126308472
0.1930000000,957.6246237975
0.1940000000,963.1423480741
0.1950000000,968.6658036771
0.1960000000,974.1949906065
0.1970000000,979.7299088623
0.1980000000,985.2705584446
0.1990000000,990.8169393532
0.2000000000,996.3690515882
0.2010000000,1001.9268951497
0.2020000000,1007.4904700375
0.2030000000,1013.0597762518
0.2040000000,1018.6348137924
0.2050000000,1024.2155826594
0.2060000000,1029.8020828529
0.2070000000,1035.3943143728
0.2080000000,1040.9922772190
0.2090000000,1046.5959713917
0.2100000000,1052.2053968907
0.2110000000,1057.8205537162
0.2120000000,1063.4414418681
0.2130000000,1069.0680613463
0.2140000000,1074.7004121510
0.2150000000,1080.3384942821
0.2160000000,1085.9823077396
0.2170000000,1091.6318525235
0.2180000000,1097.2871286337
0.2190000000,1102.9481360704
0.2200000000,1108.6148748335
0.2210000000,1114.2873449230
0.2220000000,1119.9655463389
0.2230000000,1125.6494790812
0.2240000000,1131.3391431499
0.2250000000,1137.0345385450
0.2260000000,1142.7356652665
0.2270000000,1148.4425233145
0.2280000000,1154.1551126888
0.2290000000,1159.8734333895
0.2300000000,1165.5974854166
0.2310000000,1171.3272687701
0.2320000000,1177.0627834501
0.2330000000,1182.8040294564
0.2340000000,1188.5510067891
0.2350000000,1194.3037154483
0.2360000000,1200.0621554338
0.2370000000,1205.8263267458
0.2380000000,1211.5962293841
0.2390000000,1217.3718633488
0.2400000000,1223.1532286400
0.2410000000,1228.9403252576
0.2420000000,1234.7331532015
0.2430000000,1240.5317124719
0.2440000000,1246.3360030686
0.2450000000,1252.1460249918
0.2460000000,1257.9617782414
0.2470000000,1263.7832628173
0.2480000000,1269.6104787197
0.2490000000,1275.4434259485
0.2500000000,1281.2821045037
0.2510000000,1287.1265143853
0.2520000000,1292.9766555932
0.2530000000,1298.8325281276
0.2540000000,1304.6941319884
0.2550000000,1310.5614671756
0.2560000000,1316.4345336892
0.2570000000,1322.3133315292
0.2580000000,1328.1978606956
0.2590000000,1334.0881211884
0.2600000000,1339.9841130076
0.2610000000,1345.8858361533
0.2620000000,1351.7932906253
0.2630000000,1357.7064764237
0.2640000000,1363.6253935485
0.2650000000,1369.5500419997
0.2660000000,1375.4804217774
0.2670000000,1381.4165328814
0.2680000000,1387.3583753118
0.2690000000,1393.3059490687
0.2700000000,1399.2592541519
0.2710000000,1405.2182905616
0.2720000000,1411.1830582976
0.2730000000,1417.1535573600
0.2740000000,1423.1297877489
0.2750000000,1429.1117494642
0.2760000000,1435.0994425058
0.2770000000,1441.0928668739
0.2780000000,1447.0920225683
0.2790000000,1453.0969095892
0.2800000000,1459.1075279365
0.2810000000,1465.1238776101
0.2820000000,1471.1459586102
0.2830000000,1477.1737709367
0.2840000000,1483.2073145896
0.2850000000,1489.2465895689
0.2860000000,1495.2915958745
0.2870000000,1501.3423335066
0.2880000000,1507.3988024651
0.2890000000,1513.4610027500
0.2900000000,1519.5289343613
0.2910000000,1525.6025972990
0.2920000000,1531.6819915631
0.2930000000,1537.7671171536
0.2940000000,1543.8579740705
0.2950000000,1549.9545623139
0.2960000000,1556.0568818836
0.2970000000,1562.1649327797
0.2980000000,1568.2787150022
0.2990000000,1574.3982285511
0.3000000000,1580.5234734265
0.3010000000,1586.6544496282
0.3020000000,1592.7911571563
0.3030000000,1598.9335960109
0.3040000000,1605.0817661918
0.3050000000,1611.2356676992
0.3060000000,1617.3953005329
0.3070000000,1623.5606646930
0.3080000000,1629.7317601796
0.3090000000,1635.9085869926
0.3100000000,1642.0911451319
0.3110000000,1648.2794345977
0.3120000000,1654.4734553898
0.3130000000,1660.6732075084
0.3140000000,1666.8786909534
0.3150000000,1673.0899057247
0.3160000000,1679.3068518225
0.3170000000,1685.5295292467
0.3180000000,1691.7579379973
0.3190000000,1697.9920780743
0.3200000000,1704.2319494776
0.3210000000,1710.4775522074
0.3220000000,1716.7288862636
0.3230000000,1722.9859516462
0.3240000000,1729.2487483552
0.3250000000,1735.5172763906
0.3260000000,1741.7915357524
0.3270000000,1748.0715264406
0.3280000000,1754.3572484552
0.3290000000,1760.6487017963
0.3300000000,1766.9458864637
0.3310000000,1773.2488024575
0.3320000000,1779.5574497777
0.3330000000,1785.8718284243
0.3340000000,1792.1919383974
0.3350000000,1798.5177796968
0.3360000000,1804.8493523226
0.3370000000,1811.1866562749
0.3380000000,1817.5296915535
0.3390000000,1823.8784581586
0.3400000000,1830.2329560900
0.3410000000,1836.5931853478
0.3420000000,1842.9591459321
0.3430000000,1849.3308378428
0.3440000000,1855.7082610798
0.3450000000,1862.0914156433
0.3460000000,1868.4803015331
0.3470000000,1874.8749187494
0.3480000000,1881.2752672921
0.3490000000,1887.6813471611
0.3500000000,1894.0931583566
0.3510000000,1900.5107008785
0.3520000000,1906.9339747268
0.3530000000,1913.3629799015
0.3540000000,1919.7977164025
0.3550000000,1926.2381842300
0.3560000000,1932.6843833839
