# Descripiton: Distribuicao de Distancia de Luminosidade Aproximada
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.4113578452
0.0020000000,8.8280061456
0.0030000000,13.2499449011
0.0040000000,17.6771741117
0.0050000000,22.1096937775
0.0060000000,26.5475038984
0.0070000000,30.9906044745
0.0080000000,35.4389955057
0.0090000000,39.8926769920
0.0100000000,44.3516489335
0.0110000000,48.8159113302
0.0120000000,53.2854641819
0.0130000000,57.7603074888
0.0140000000,62.2404412509
0.0150000000,66.7258654681
0.0160000000,71.2165801404
0.0170000000,75.7125852679
0.0180000000,80.2138808505
0.0190000000,84.7204668883
0.0200000000,89.2323433812
0.0210000000,93.7495103292
0.0220000000,98.2719677324
0.0230000000,102.7997155907
0.0240000000,107.3327539042
0.0250000000,111.8710826728
0.0260000000,116.4147018965
0.0270000000,120.9636115754
0.0280000000,125.5178117095
0.0290000000,130.0773022986
0.0300000000,134.6420833429
0.0310000000,139.2121548424
0.0320000000,143.7875167970
0.0330000000,148.3681692067
0.0340000000,152.9541120716
0.0350000000,157.5453453916
0.0360000000,162.1418691668
0.0370000000,166.7436833971
0.0380000000,171.3507880825
0.0390000000,175.9631832231
0.0400000000,180.5808688188
0.0410000000,185.2038448697
0.0420000000,189.8321113757
0.0430000000,194.4656683368
0.0440000000,199.1045157531
0.0450000000,203.7486536246
0.0460000000,208.3980819511
0.0470000000,213.0528007328
0.0480000000,217.7128099697
0.0490000000,222.3781096617
0.0500000000,227.0486998088
0.0510000000,231.7245804111
0.0520000000,236.4057514685
0.0530000000,241.0922129811
0.0540000000,245.7839649488
0.0550000000,250.4810073716
0.0560000000,255.1833402496
0.0570000000,259.8909635827
0.0580000000,264.6038773710
0.0590000000,269.3220816144
0.0600000000,274.0455763129
0.0610000000,278.7743614666
0.0620000000,283.5084370755
0.0630000000,288.2478031394
0.0640000000,292.9924596585
0.0650000000,297.7424066328
0.0660000000,302.4976440622
0.0670000000,307.2581719467
0.0680000000,312.0239902864
0.0690000000,316.7950990812
0.0700000000,321.5714983312
0.0710000000,326.3531880363
0.0720000000,331.1401681965
0.0730000000,335.9324388119
0.0740000000,340.7299998824
0.0750000000,345.5328514081
0.0760000000,350.3409933889
0.0770000000,355.1544258248
0.0780000000,359.9731487159
0.0790000000,364.7971620622
0.0800000000,369.6264658635
0.0810000000,374.4610601200
0.0820000000,379.3009448317
0.0830000000,384.1461199985
0.0840000000,388.9965856204
0.0850000000,393.8523416975
0.0860000000,398.7133882297
0.0870000000,403.5797252171
0.0880000000,408.4513526596
0.0890000000,413.3282705572
0.0900000000,418.2104789100
0.0910000000,423.0979777179
