# Descripiton: Distribuicao de Distancia de Luminosidade Aproximada
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.4120797719
0.0020000000,8.8308938523
0.0030000000,13.2564422413
0.0040000000,17.6887249388
0.0050000000,22.1277419448
0.0060000000,26.5734932593
0.0070000000,31.0259788824
0.0080000000,35.4851988139
0.0090000000,39.9511530540
0.0100000000,44.4238416026
0.0110000000,48.9032644598
0.0120000000,53.3894216255
0.0130000000,57.8823130996
0.0140000000,62.3819388824
0.0150000000,66.8882989736
0.0160000000,71.4013933734
0.0170000000,75.9212220816
0.0180000000,80.4477850984
0.0190000000,84.9810824238
0.0200000000,89.5211140576
0.0210000000,94.0678800000
0.0220000000,98.6213802509
0.0230000000,103.1816148103
0.0240000000,107.7485836783
0.0250000000,112.3222868548
0.0260000000,116.9027243398
0.0270000000,121.4898961333
0.0280000000,126.0838022353
0.0290000000,130.6844426459
0.0300000000,135.2918173650
0.0310000000,139.9059263926
0.0320000000,144.5267697287
0.0330000000,149.1543473734
0.0340000000,153.7886593266
0.0350000000,158.4297055883
0.0360000000,163.0774861585
0.0370000000,167.7320010372
0.0380000000,172.3932502245
0.0390000000,177.0612337203
0.0400000000,181.7359515246
0.0410000000,186.4174036375
0.0420000000,191.1055900589
0.0430000000,195.8005107888
0.0440000000,200.5021658272
0.0450000000,205.2105551741
0.0460000000,209.9256788296
0.0470000000,214.6475367936
0.0480000000,219.3761290661
0.0490000000,224.1114556471
0.0500000000,228.8535165367
0.0510000000,233.6023117348
0.0520000000,238.3578412414
0.0530000000,243.1201050565
0.0540000000,247.8891031801
0.0550000000,252.6648356123
0.0560000000,257.4473023530
0.0570000000,262.2365034022
0.0580000000,267.0324387600
0.0590000000,271.8351084263
0.0600000000,276.6445124010
0.0610000000,281.4606506844
0.0620000000,286.2835232762
0.0630000000,291.1131301766
0.0640000000,295.9494713854
0.0650000000,300.7925469029
0.0660000000,305.6423567288
0.0670000000,310.4989008632
0.0680000000,315.3621793062
0.0690000000,320.2321920577
0.0700000000,325.1089391178
0.0710000000,329.9924204863
0.0720000000,334.8826361634
0.0730000000,339.7795861490
0.0740000000,344.6832704431
0.0750000000,349.5936890457
0.0760000000,354.5108419569
0.0770000000,359.4347291766
0.0780000000,364.3653507048
0.0790000000,369.3027065416
0.0800000000,374.2467966868
0.0810000000,379.1976211406
0.0820000000,384.1551799029
0.0830000000,389.1194729737
0.0840000000,394.0905003531
0.0850000000,399.0682620410
0.0860000000,404.0527580374
0.0870000000,409.0439883423
0.0880000000,414.0419529558
0.0890000000,419.0466518777
0.0900000000,424.0580851082
0.0910000000,429.0762526473
0.0920000000,434.1011544948
0.0930000000,439.1327906509
0.0940000000,444.1711611155
0.0950000000,449.2162658886
0.0960000000,454.2681049702
0.0970000000,459.3266783604
0.0980000000,464.3919860590
0.0990000000,469.4640280663
0.1000000000,474.5428043820
0.1010000000,479.6283150062
0.1020000000,484.7205599390
0.1030000000,489.8195391803
0.1040000000,494.9252527301
0.1050000000,500.0377005885
0.1060000000,505.1568827554
0.1070000000,510.2827992308
0.1080000000,515.4154500147
