# Descripiton: Distribuicao de Distancia de Luminosidade
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.4098142451
0.0020000000,8.8218295447
0.0030000000,13.2360426048
0.0040000000,17.6524501393
0.0050000000,22.0710488705
0.0060000000,26.4918355287
0.0070000000,30.9148068525
0.0080000000,35.3399595884
0.0090000000,39.7672904911
0.0100000000,44.1967963232
0.0110000000,48.6284738555
0.0120000000,53.0623198667
0.0130000000,57.4983311434
0.0140000000,61.9365044802
0.0150000000,66.3768366796
0.0160000000,70.8193245518
0.0170000000,75.2639649152
0.0180000000,79.7107545956
0.0190000000,84.1596904270
0.0200000000,88.6107692509
0.0210000000,93.0639879165
0.0220000000,97.5193432810
0.0230000000,101.9768322091
0.0240000000,106.4364515730
0.0250000000,110.8981982529
0.0260000000,115.3620691363
0.0270000000,119.8280611184
0.0280000000,124.2961711020
0.0290000000,128.7663959973
0.0300000000,133.2387327222
0.0310000000,137.7131782018
0.0320000000,142.1897293691
0.0330000000,146.6683831639
0.0340000000,151.1491365340
0.0350000000,155.6319864343
0.0360000000,160.1169298270
0.0370000000,164.6039636818
0.0380000000,169.0930849755
0.0390000000,173.5842906924
0.0400000000,178.0775778239
0.0410000000,182.5729433686
0.0420000000,187.0703843326
0.0430000000,191.5698977288
0.0440000000,196.0714805775
0.0450000000,200.5751299060
0.0460000000,205.0808427488
0.0470000000,209.5886161475
0.0480000000,214.0984471506
0.0490000000,218.6103328139
0.0500000000,223.1242702000
0.0510000000,227.6402563785
0.0520000000,232.1582884262
0.0530000000,236.6783634265
0.0540000000,241.2004784700
0.0550000000,245.7246306541
0.0560000000,250.2508170831
0.0570000000,254.7790348680
0.0580000000,259.3092811269
0.0590000000,263.8415529845
0.0600000000,268.3758475724
0.0610000000,272.9121620289
0.0620000000,277.4504934991
0.0630000000,281.9908391346
0.0640000000,286.5331960942
0.0650000000,291.0775615427
0.0660000000,295.6239326522
0.0670000000,300.1723066009
0.0680000000,304.7226805741
0.0690000000,309.2750517632
0.0700000000,313.8294173665
0.0710000000,318.3857745887
0.0720000000,322.9441206411
0.0730000000,327.5044527416
0.0740000000,332.0667681142
0.0750000000,336.6310639898
0.0760000000,341.1973376054
0.0770000000,345.7655862047
0.0780000000,350.3358070376
0.0790000000,354.9079973605
0.0800000000,359.4821544360
0.0810000000,364.0582755332
0.0820000000,368.6363579275
0.0830000000,373.2163989003
0.0840000000,377.7983957398
0.0850000000,382.3823457400
0.0860000000,386.9682462014
0.0870000000,391.5560944305
0.0880000000,396.1458877402
0.0890000000,400.7376234494
0.0900000000,405.3312988833
0.0910000000,409.9269113731
0.0920000000,414.5244582562
0.0930000000,419.1239368761
0.0940000000,423.7253445824
0.0950000000,428.3286787306
0.0960000000,432.9339366824
0.0970000000,437.5411158054
0.0980000000,442.1502134733
0.0990000000,446.7612270657
0.1000000000,451.3741539683
0.1010000000,455.9889915725
0.1020000000,460.6057372758
0.1030000000,465.2243884816
0.1040000000,469.8449425991
0.1050000000,474.4673970434
0.1060000000,479.0917492354
0.1070000000,483.7179966020
0.1080000000,488.3461365758
0.1090000000,492.9761665950
0.1100000000,497.6080841040
0.1110000000,502.2418865525
0.1120000000,506.8775713963
0.1130000000,511.5151360967
0.1140000000,516.1545781208
0.1150000000,520.7958949412
0.1160000000,525.4390840366
0.1170000000,530.0841428908
0.1180000000,534.7310689937
0.1190000000,539.3798598405
0.1200000000,544.0305129320
0.1210000000,548.6830257749
0.1220000000,553.3373958811
0.1230000000,557.9936207682
0.1240000000,562.6516979593
0.1250000000,567.3116249831
0.1260000000,571.9733993736
0.1270000000,576.6370186704
0.1280000000,581.3024804185
0.1290000000,585.9697821684
0.1300000000,590.6389214761
0.1310000000,595.3098959028
0.1320000000,599.9827030152
0.1330000000,604.6573403853
0.1340000000,609.3338055907
0.1350000000,614.0120962140
0.1360000000,618.6922098433
0.1370000000,623.3741440721
0.1380000000,628.0578964990
0.1390000000,632.7434647280
0.1400000000,637.4308463682
0.1410000000,642.1200390342
0.1420000000,646.8110403456
0.1430000000,651.5038479273
0.1440000000,656.1984594094
0.1450000000,660.8948724271
0.1460000000,665.5930846209
0.1470000000,670.2930936364
0.1480000000,674.9948971242
0.1490000000,679.6984927402
0.1500000000,684.4038781453
0.1510000000,689.1110510055
0.1520000000,693.8200089918
0.1530000000,698.5307497803
0.1540000000,703.2432710523
0.1550000000,707.9575704939
0.1560000000,712.6736457963
0.1570000000,717.3914946557
0.1580000000,722.1111147732
0.1590000000,726.8325038550
0.1600000000,731.5556596121
0.1610000000,736.2805797605
0.1620000000,741.0072620211
0.1630000000,745.7357041198
0.1640000000,750.4659037872
0.1650000000,755.1978587590
0.1660000000,759.9315667755
0.1670000000,764.6670255821
0.1680000000,769.4042329288
0.1690000000,774.1431865706
0.1700000000,778.8838842672
0.1710000000,783.6263237831
0.1720000000,788.3705028876
0.1730000000,793.1164193548
0.1740000000,797.8640709633
0.1750000000,802.6134554968
0.1760000000,807.3645707434
0.1770000000,812.1174144961
0.1780000000,816.8719845525
0.1790000000,821.6282787148
0.1800000000,826.3862947901
0.1810000000,831.1460305899
0.1820000000,835.9074839304
0.1830000000,840.6706526325
0.1840000000,845.4355345216
0.1850000000,850.2021274278
0.1860000000,854.9704291856
0.1870000000,859.7404376343
0.1880000000,864.5121506175
0.1890000000,869.2855659836
0.1900000000,874.0606815852
0.1910000000,878.8374952798
0.1920000000,883.6160049291
0.1930000000,888.3962083994
0.1940000000,893.1781035613
0.1950000000,897.9616882902
0.1960000000,902.7469604657
0.1970000000,907.5339179719
0.1980000000,912.3225586971
0.1990000000,917.1128805345
0.2000000000,921.9048813812
0.2010000000,926.6985591389
0.2020000000,931.4939117137
0.2030000000,936.2909370159
0.2040000000,941.0896329603
0.2050000000,945.8899974660
0.2060000000,950.6920284564
0.2070000000,955.4957238591
0.2080000000,960.3010816061
0.2090000000,965.1080996337
0.2100000000,969.9167758824
0.2110000000,974.7271082969
0.2120000000,979.5390948264
0.2130000000,984.3527334239
0.2140000000,989.1680220471
0.2150000000,993.9849586576
0.2160000000,998.8035412213
0.2170000000,1003.6237677081
0.2180000000,1008.4456360924
0.2190000000,1013.2691443524
0.2200000000,1018.0942904707
0.2210000000,1022.9210724340
0.2220000000,1027.7494882331
0.2230000000,1032.5795358627
0.2240000000,1037.4112133220
0.2250000000,1042.2445186139
0.2260000000,1047.0794497456
0.2270000000,1051.9160047283
0.2280000000,1056.7541815773
0.2290000000,1061.5939783118
0.2300000000,1066.4353929553
0.2310000000,1071.2784235349
0.2320000000,1076.1230680821
0.2330000000,1080.9693246323
0.2340000000,1085.8171912247
0.2350000000,1090.6666659026
0.2360000000,1095.5177467133
0.2370000000,1100.3704317080
0.2380000000,1105.2247189418
0.2390000000,1110.0806064738
0.2400000000,1114.9380923670
0.2410000000,1119.7971746882
0.2420000000,1124.6578515083
0.2430000000,1129.5201209020
0.2440000000,1134.3839809476
0.2450000000,1139.2494297277
0.2460000000,1144.1164653286
0.2470000000,1148.9850858401
0.2480000000,1153.8552893564
0.2490000000,1158.7270739751
0.2500000000,1163.6004377978
0.2510000000,1168.4753789297
0.2520000000,1173.3518954801
0.2530000000,1178.2299855618
0.2540000000,1183.1096472914
0.2550000000,1187.9908787894
0.2560000000,1192.8736781800
0.2570000000,1197.7580435909
0.2580000000,1202.6439731539
0.2590000000,1207.5314650043
0.2600000000,1212.4205172810
0.2610000000,1217.3111281269
0.2620000000,1222.2032956882
0.2630000000,1227.0970181151
0.2640000000,1231.9922935614
0.2650000000,1236.8891201843
0.2660000000,1241.7874961449
0.2670000000,1246.6874196079
0.2680000000,1251.5888887415
0.2690000000,1256.4919017176
0.2700000000,1261.3964567118
0.2710000000,1266.3025519030
0.2720000000,1271.2101854740
0.2730000000,1276.1193556109
0.2740000000,1281.0300605037
0.2750000000,1285.9422983455
0.2760000000,1290.8560673333
0.2770000000,1295.7713656675
0.2780000000,1300.6881915521
0.2790000000,1305.6065431944
0.2800000000,1310.5264188055
0.2810000000,1315.4478165998
0.2820000000,1320.3707347952
0.2830000000,1325.2951716131
0.2840000000,1330.2211252785
0.2850000000,1335.1485940196
0.2860000000,1340.0775760682
0.2870000000,1345.0080696595
0.2880000000,1349.9400730321
0.2890000000,1354.8735844282
0.2900000000,1359.8086020931
0.2910000000,1364.7451242757
0.2920000000,1369.6831492284
0.2930000000,1374.6226752066
0.2940000000,1379.5637004695
0.2950000000,1384.5062232794
0.2960000000,1389.4502419020
0.2970000000,1394.3957546064
0.2980000000,1399.3427596650
0.2990000000,1404.2912553535
0.3000000000,1409.2412399510
0.3010000000,1414.1927117399
0.3020000000,1419.1456690057
0.3030000000,1424.1001100375
0.3040000000,1429.0560331274
0.3050000000,1434.0134365710
0.3060000000,1438.9723186671
0.3070000000,1443.9326777176
0.3080000000,1448.8945120279
0.3090000000,1453.8578199065
0.3100000000,1458.8225996650
0.3110000000,1463.7888496185
0.3120000000,1468.7565680852
0.3130000000,1473.7257533864
0.3140000000,1478.6964038466
0.3150000000,1483.6685177937
0.3160000000,1488.6420935586
0.3170000000,1493.6171294754
0.3180000000,1498.5936238814
0.3190000000,1503.5715751170
0.3200000000,1508.5509815258
0.3210000000,1513.5318414544
0.3220000000,1518.5141532527
0.3230000000,1523.4979152738
0.3240000000,1528.4831258735
0.3250000000,1533.4697834112
0.3260000000,1538.4578862490
0.3270000000,1543.4474327524
0.3280000000,1548.4384212897
0.3290000000,1553.4308502324
0.3300000000,1558.4247179552
0.3310000000,1563.4200228357
0.3320000000,1568.4167632545
0.3330000000,1573.4149375952
0.3340000000,1578.4145442448
0.3350000000,1583.4155815928
0.3360000000,1588.4180480322
0.3370000000,1593.4219419586
0.3380000000,1598.4272617708
0.3390000000,1603.4340058707
0.3400000000,1608.4421726630
0.3410000000,1613.4517605553
0.3420000000,1618.4627679585
0.3430000000,1623.4751932862
0.3440000000,1628.4890349549
0.3450000000,1633.5042913842
0.3460000000,1638.5209609967
0.3470000000,1643.5390422177
0.3480000000,1648.5585334757
0.3490000000,1653.5794332017
0.3500000000,1658.6017398301
0.3510000000,1663.6254517979
0.3520000000,1668.6505675450
0.3530000000,1673.6770855143
0.3540000000,1678.7050041514
0.3550000000,1683.7343219051
0.3560000000,1688.7650372267
0.3570000000,1693.7971485705
0.3580000000,1698.8306543937
0.3590000000,1703.8655531562
0.3600000000,1708.9018433210
0.3610000000,1713.9395233536
0.3620000000,1718.9785917225
0.3630000000,1724.0190468990
0.3640000000,1729.0608873571
0.3650000000,1734.1041115738
0.3660000000,1739.1487180286
0.3670000000,1744.1947052041
0.3680000000,1749.2420715855
0.3690000000,1754.2908156607
0.3700000000,1759.3409359205
0.3710000000,1764.3924308585
0.3720000000,1769.4452989708
0.3730000000,1774.4995387564
0.3740000000,1779.5551487171
0.3750000000,1784.6121273573
0.3760000000,1789.6704731842
0.3770000000,1794.7301847077
0.3780000000,1799.7912604403
0.3790000000,1804.8536988973
0.3800000000,1809.9174985967
0.3810000000,1814.9826580592
0.3820000000,1820.0491758081
0.3830000000,1825.1170503693
0.3840000000,1830.1862802716
0.3850000000,1835.2568640463
0.3860000000,1840.3288002274
0.3870000000,1845.4020873515
0.3880000000,1850.4767239577
0.3890000000,1855.5527085881
0.3900000000,1860.6300397872
0.3910000000,1865.7087161020
0.3920000000,1870.7887360824
0.3930000000,1875.8700982805
0.3940000000,1880.9528012515
0.3950000000,1886.0368435528
0.3960000000,1891.1222237446
0.3970000000,1896.2089403895
0.3980000000,1901.2969920528
0.3990000000,1906.3863773024
0.4000000000,1911.4770947086
0.4010000000,1916.5691428444
0.4020000000,1921.6625202852
0.4030000000,1926.7572256091
0.4040000000,1931.8532573967
0.4050000000,1936.9506142311
0.4060000000,1942.0492946978
0.4070000000,1947.1492973850
0.4080000000,1952.2506208833
0.4090000000,1957.3532637859
0.4100000000,1962.4572246884
0.4110000000,1967.5625021889
0.4120000000,1972.6690948880
0.4130000000,1977.7770013887
0.4140000000,1982.8862202968
0.4150000000,1987.9967502201
0.4160000000,1993.1085897691
0.4170000000,1998.2217375568
0.4180000000,2003.3361921986
0.4190000000,2008.4519523122
0.4200000000,2013.5690165179
0.4210000000,2018.6873834384
0.4220000000,2023.8070516988
0.4230000000,2028.9280199267
0.4240000000,2034.0502867519
0.4250000000,2039.1738508067
0.4260000000,2044.2987107260
0.4270000000,2049.4248651469
0.4280000000,2054.5523127087
0.4290000000,2059.6810520536
0.4300000000,2064.8110818257
0.4310000000,2069.9424006716
0.4320000000,2075.0750072404
0.4330000000,2080.2089001835
0.4340000000,2085.3440781545
0.4350000000,2090.4805398095
0.4360000000,2095.6182838069
0.4370000000,2100.7573088075
0.4380000000,2105.8976134744
0.4390000000,2111.0391964728
0.4400000000,2116.1820564706
0.4410000000,2121.3261921377
0.4420000000,2126.4716021465
0.4430000000,2131.6182851716
0.4440000000,2136.7662398900
0.4450000000,2141.9154649808
0.4460000000,2147.0659591256
0.4470000000,2152.2177210081
0.4480000000,2157.3707493145
0.4490000000,2162.5250427329
0.4500000000,2167.6805999541
0.4510000000,2172.8374196708
0.4520000000,2177.9955005781
0.4530000000,2183.1548413734
0.4540000000,2188.3154407563
0.4550000000,2193.4772974286
0.4560000000,2198.6404100943
0.4570000000,2203.8047774598
0.4580000000,2208.9703982334
0.4590000000,2214.1372711259
0.4600000000,2219.3053948502
0.4610000000,2224.4747681215
0.4620000000,2229.6453896570
0.4630000000,2234.8172581763
0.4640000000,2239.9903724011
0.4650000000,2245.1647310552
0.4660000000,2250.3403328647
0.4670000000,2255.5171765578
0.4680000000,2260.6952608650
0.4690000000,2265.8745845187
0.4700000000,2271.0551462538
0.4710000000,2276.2369448070
0.4720000000,2281.4199789174
0.4730000000,2286.6042473261
0.4740000000,2291.7897487764
0.4750000000,2296.9764820138
0.4760000000,2302.1644457858
0.4770000000,2307.3536388420
0.4780000000,2312.5440599343
0.4790000000,2317.7357078165
0.4800000000,2322.9285812447
0.4810000000,2328.1226789769
0.4820000000,2333.3179997733
0.4830000000,2338.5145423963
0.4840000000,2343.7123056102
0.4850000000,2348.9112881814
0.4860000000,2354.1114888785
0.4870000000,2359.3129064722
0.4880000000,2364.5155397350
0.4890000000,2369.7193874417
0.4900000000,2374.9244483691
0.4910000000,2380.1307212960
0.4920000000,2385.3382050034
0.4930000000,2390.5468982741
0.4940000000,2395.7567998931
0.4950000000,2400.9679086475
0.4960000000,2406.1802233262
0.4970000000,2411.3937427203
0.4980000000,2416.6084656229
0.4990000000,2421.8243908291
0.5000000000,2427.0415171359
0.5010000000,2432.2598433425
0.5020000000,2437.4793682500
0.5030000000,2442.7000906614
0.5040000000,2447.9220093818
0.5050000000,2453.1451232184
0.5060000000,2458.3694309801
0.5070000000,2463.5949314780
0.5080000000,2468.8216235250
0.5090000000,2474.0495059363
0.5100000000,2479.2785775286
0.5110000000,2484.5088371209
0.5120000000,2489.7402835341
0.5130000000,2494.9729155908
0.5140000000,2500.2067321159
0.5150000000,2505.4417319361
0.5160000000,2510.6779138799
0.5170000000,2515.9152767778
0.5180000000,2521.1538194625
0.5190000000,2526.3935407682
0.5200000000,2531.6344395312
0.5210000000,2536.8765145899
0.5220000000,2542.1197647843
