# Descripiton: Distribuicao de Distancia de Luminosidade
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.4120785282
0.0020000000,8.8308839031
0.0030000000,13.2564086647
0.0040000000,17.6886453546
0.0050000000,22.1275865161
0.0060000000,26.5732246947
0.0070000000,31.0255524375
0.0080000000,35.4845622935
0.0090000000,39.9502468138
0.0100000000,44.4225985514
0.0110000000,48.9016100613
0.0120000000,53.3872739004
0.0130000000,57.8795826279
0.0140000000,62.3785288049
0.0150000000,66.8841049948
0.0160000000,71.3963037628
0.0170000000,75.9151176768
0.0180000000,80.4405393064
0.0190000000,84.9725612238
0.0200000000,89.5111760034
0.0210000000,94.0563762216
0.0220000000,98.6081544576
0.0230000000,103.1665032926
0.0240000000,107.7314153103
0.0250000000,112.3028830969
0.0260000000,116.8808992410
0.0270000000,121.4654563336
0.0280000000,126.0565469682
0.0290000000,130.6541637410
0.0300000000,135.2582992507
0.0310000000,139.8689460983
0.0320000000,144.4860968880
0.0330000000,149.1097442260
0.0340000000,153.7398807217
0.0350000000,158.3764989869
0.0360000000,163.0195916362
0.0370000000,167.6691512871
0.0380000000,172.3251705597
0.0390000000,176.9876420771
0.0400000000,181.6565584649
0.0410000000,186.3319123521
0.0420000000,191.0136963702
0.0430000000,195.7019031536
0.0440000000,200.3965253401
0.0450000000,205.0975555699
0.0460000000,209.8049864867
0.0470000000,214.5188107369
0.0480000000,219.2390209702
0.0490000000,223.9656098392
0.0500000000,228.6985699998
0.0510000000,233.4378941109
0.0520000000,238.1835748346
0.0530000000,242.9356048363
0.0540000000,247.6939767844
0.0550000000,252.4586833510
0.0560000000,257.2297172109
0.0570000000,262.0070710426
0.0580000000,266.7907375279
0.0590000000,271.5807093517
0.0600000000,276.3769792026
0.0610000000,281.1795397724
0.0620000000,285.9883837565
0.0630000000,290.8035038536
0.0640000000,295.6248927659
0.0650000000,300.4525431992
0.0660000000,305.2864478628
0.0670000000,310.1265994696
0.0680000000,314.9729907360
0.0690000000,319.8256143821
0.0700000000,324.6844631315
0.0710000000,329.5495297117
0.0720000000,334.4208068537
0.0730000000,339.2982872923
0.0740000000,344.1819637658
0.0750000000,349.0718290167
0.0760000000,353.9678757909
0.0770000000,358.8700968383
0.0780000000,363.7784849125
0.0790000000,368.6930327712
0.0800000000,373.6137331757
0.0810000000,378.5405788913
0.0820000000,383.4735626874
0.0830000000,388.4126773371
0.0840000000,393.3579156176
0.0850000000,398.3092703102
0.0860000000,403.2667341999
0.0870000000,408.2303000762
0.0880000000,413.1999607322
0.0890000000,418.1757089655
0.0900000000,423.1575375775
0.0910000000,428.1454393740
0.0920000000,433.1394071648
0.0930000000,438.1394337639
0.0940000000,443.1455119895
0.0950000000,448.1576346641
0.0960000000,453.1757946144
0.0970000000,458.1999846714
0.0980000000,463.2301976704
0.0990000000,468.2664264509
0.1000000000,473.3086638570
0.1010000000,478.3569027369
0.1020000000,483.4111359433
0.1030000000,488.4713563333
0.1040000000,493.5375567685
0.1050000000,498.6097301147
0.1060000000,503.6878692425
0.1070000000,508.7719670268
0.1080000000,513.8620163470
