# Descripiton: Distribuicao de Distancia de Luminosidade
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.4115773775
0.0020000000,8.8288806647
0.0030000000,13.2519044545
0.0040000000,17.6806433500
0.0050000000,22.1150919648
0.0060000000,26.5552449224
0.0070000000,31.0010968571
0.0080000000,35.4526424129
0.0090000000,39.9098762445
0.0100000000,44.3727930165
0.0110000000,48.8413874036
0.0120000000,53.3156540909
0.0130000000,57.7955877734
0.0140000000,62.2811831564
0.0150000000,66.7724349550
0.0160000000,71.2693378947
0.0170000000,75.7718867107
0.0180000000,80.2800761483
0.0190000000,84.7939009629
0.0200000000,89.3133559197
0.0210000000,93.8384357939
0.0220000000,98.3691353706
0.0230000000,102.9054494448
0.0240000000,107.4473728213
0.0250000000,111.9949003148
0.0260000000,116.5480267498
0.0270000000,121.1067469606
0.0280000000,125.6710557912
0.0290000000,130.2409480954
0.0300000000,134.8164187368
0.0310000000,139.3974625886
0.0320000000,143.9840745336
0.0330000000,148.5762494644
0.0340000000,153.1739822833
0.0350000000,157.7772679018
0.0360000000,162.3861012416
0.0370000000,167.0004772334
0.0380000000,171.6203908178
0.0390000000,176.2458369447
0.0400000000,180.8768105736
0.0410000000,185.5133066736
0.0420000000,190.1553202229
0.0430000000,194.8028462095
0.0440000000,199.4558796305
0.0450000000,204.1144154926
0.0460000000,208.7784488119
0.0470000000,213.4479746135
0.0480000000,218.1229879322
0.0490000000,222.8034838118
0.0500000000,227.4894573057
0.0510000000,232.1809034761
0.0520000000,236.8778173950
0.0530000000,241.5801941430
0.0540000000,246.2880288103
0.0550000000,251.0013164962
0.0560000000,255.7200523089
0.0570000000,260.4442313661
0.0580000000,265.1738487943
0.0590000000,269.9088997291
0.0600000000,274.6493793153
0.0610000000,279.3952827067
0.0620000000,284.1466050661
0.0630000000,288.9033415651
0.0640000000,293.6654873845
0.0650000000,298.4330377140
0.0660000000,303.2059877522
0.0670000000,307.9843327066
0.0680000000,312.7680677935
0.0690000000,317.5571882383
0.0700000000,322.3516892750
0.0710000000,327.1515661465
0.0720000000,331.9568141045
0.0730000000,336.7674284096
0.0740000000,341.5834043309
0.0750000000,346.4047371464
0.0760000000,351.2314221429
0.0770000000,356.0634546157
0.0780000000,360.9008298688
0.0790000000,365.7435432150
0.0800000000,370.5915899757
0.0810000000,375.4449654807
0.0820000000,380.3036650687
0.0830000000,385.1676840867
0.0840000000,390.0370178904
0.0850000000,394.9116618440
0.0860000000,399.7916113202
0.0870000000,404.6768617003
0.0880000000,409.5674083737
0.0890000000,414.4632467388
0.0900000000,419.3643722019
0.0910000000,424.2707801781
0.0920000000,429.1824660907
0.0930000000,434.0994253713
0.0940000000,439.0216534601
0.0950000000,443.9491458053
0.0960000000,448.8818978637
0.0970000000,453.8199051002
0.0980000000,458.7631629881
0.0990000000,463.7116670088
0.1000000000,468.6654126520
0.1010000000,473.6243954158
0.1020000000,478.5886108060
0.1030000000,483.5580543372
0.1040000000,488.5327215316
0.1050000000,493.5126079198
0.1060000000,498.4977090404
0.1070000000,503.4880204403
0.1080000000,508.4835376742
0.1090000000,513.4842563051
0.1100000000,518.4901719038
0.1110000000,523.5012800492
0.1120000000,528.5175763283
0.1130000000,533.5390563359
0.1140000000,538.5657156750
0.1150000000,543.5975499562
0.1160000000,548.6345547983
0.1170000000,553.6767258278
0.1180000000,558.7240586793
0.1190000000,563.7765489950
0.1200000000,568.8341924252
0.1210000000,573.8969846279
0.1220000000,578.9649212688
0.1230000000,584.0379980216
0.1240000000,589.1162105676
0.1250000000,594.1995545958
0.1260000000,599.2880258032
0.1270000000,604.3816198943
0.1280000000,609.4803325813
0.1290000000,614.5841595841
0.1300000000,619.6930966303
0.1310000000,624.8071394551
0.1320000000,629.9262838012
0.1330000000,635.0505254192
0.1340000000,640.1798600670
0.1350000000,645.3142835102
0.1360000000,650.4537915218
0.1370000000,655.5983798826
0.1380000000,660.7480443806
0.1390000000,665.9027808116
0.1400000000,671.0625849785
0.1410000000,676.2274526920
0.1420000000,681.3973797700
0.1430000000,686.5723620381
0.1440000000,691.7523953289
0.1450000000,696.9374754828
0.1460000000,702.1275983472
0.1470000000,707.3227597771
0.1480000000,712.5229556347
0.1490000000,717.7281817896
0.1500000000,722.9384341187
0.1510000000,728.1537085060
0.1520000000,733.3740008430
0.1530000000,738.5993070283
0.1540000000,743.8296229678
0.1550000000,749.0649445745
0.1560000000,754.3052677687
0.1570000000,759.5505884778
0.1580000000,764.8009026364
0.1590000000,770.0562061862
0.1600000000,775.3164950760
0.1610000000,780.5817652619
0.1620000000,785.8520127069
0.1630000000,791.1272333810
0.1640000000,796.4074232614
0.1650000000,801.6925783323
0.1660000000,806.9826945849
0.1670000000,812.2777680175
