# Descripiton: Distribuicao de Distancia de Luminosidade
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.4113557298
0.0020000000,8.8279892288
0.0030000000,13.2498878286
0.0040000000,17.6770388798
0.0050000000,22.1094297524
0.0060000000,26.5470478357
0.0070000000,30.9898805384
0.0080000000,35.4379152884
0.0090000000,39.8911395332
0.0100000000,44.3495407401
0.0110000000,48.8131063956
0.0120000000,53.2818240060
0.0130000000,57.7556810974
0.0140000000,62.2346652157
0.0150000000,66.7187639263
0.0160000000,71.2079648149
0.0170000000,75.7022554869
0.0180000000,80.2016235677
0.0190000000,84.7060567028
0.0200000000,89.2155425579
0.0210000000,93.7300688185
0.0220000000,98.2496231907
0.0230000000,102.7741934007
0.0240000000,107.3037671947
0.0250000000,111.8383323398
0.0260000000,116.3778766231
0.0270000000,120.9223878522
0.0280000000,125.4718538552
0.0290000000,130.0262624810
0.0300000000,134.5856015986
0.0310000000,139.1498590979
0.0320000000,143.7190228896
0.0330000000,148.2930809048
0.0340000000,152.8720210956
0.0350000000,157.4558314348
0.0360000000,162.0444999160
0.0370000000,166.6380145538
0.0380000000,171.2363633836
0.0390000000,175.8395344618
0.0400000000,180.4475158658
0.0410000000,185.0602956941
0.0420000000,189.6778620662
0.0430000000,194.3002031227
0.0440000000,198.9273070254
0.0450000000,203.5591619572
0.0460000000,208.1957561224
0.0470000000,212.8370777464
0.0480000000,217.4831150759
0.0490000000,222.1338563790
0.0500000000,226.7892899450
0.0510000000,231.4494040848
0.0520000000,236.1141871306
0.0530000000,240.7836274359
0.0540000000,245.4577133761
0.0550000000,250.1364333476
0.0560000000,254.8197757687
0.0570000000,259.5077290792
0.0580000000,264.2002817403
0.0590000000,268.8974222351
0.0600000000,273.5991390682
0.0610000000,278.3054207658
0.0620000000,283.0162558759
0.0630000000,287.7316329684
0.0640000000,292.4515406345
0.0650000000,297.1759674877
0.0660000000,301.9049021629
0.0670000000,306.6383333169
0.0680000000,311.3762496286
0.0690000000,316.1186397984
0.0700000000,320.8654925488
0.0710000000,325.6167966242
0.0720000000,330.3725407908
0.0730000000,335.1327138369
0.0740000000,339.8973045728
0.0750000000,344.6663018305
0.0760000000,349.4396944642
0.0770000000,354.2174713502
0.0780000000,358.9996213867
0.0790000000,363.7861334940
0.0800000000,368.5769966144
0.0810000000,373.3721997124
0.0820000000,378.1717317745
0.0830000000,382.9755818094
