# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.0010000000,28.2221014802
0.0020000000,29.7277933105
0.0030000000,30.6087907821
0.0040000000,31.2340249674
0.0050000000,31.7191148620
0.0060000000,32.1155602506
0.0070000000,32.4508326874
0.0080000000,32.7413302428
0.0090000000,32.9976300086
0.0100000000,33.2269539497
0.0110000000,33.4344531999
0.0120000000,33.6239311663
0.0130000000,33.7982761986
0.0140000000,33.9597334568
0.0150000000,34.1100827570
0.0160000000,34.2507589015
0.0170000000,34.3829354664
0.0180000000,34.5075846024
0.0190000000,34.6255206465
0.0200000000,34.7374325339
0.0210000000,34.8439082935
0.0220000000,34.9454538399
0.0230000000,35.0425075850
0.0240000000,35.1354519371
0.0250000000,35.2246224514
0.0260000000,35.3103151848
0.0270000000,35.3927926613
0.0280000000,35.4722887528
0.0290000000,35.5490127027
0.0300000000,35.6231524666
0.0310000000,35.6948775062
0.0320000000,35.7643411381
0.0330000000,35.8316825223
0.0340000000,35.8970283527
0.0350000000,35.9604943034
0.0360000000,36.0221862705
0.0370000000,36.0822014443
0.0380000000,36.1406292379
0.0390000000,36.1975520957
0.0400000000,36.2530461992
0.0410000000,36.3071820857
0.0420000000,36.3600251925
0.0430000000,36.4116363369
0.0440000000,36.4620721415
0.0450000000,36.5113854108
0.0460000000,36.5596254672
0.0470000000,36.6068384508
0.0480000000,36.6530675869
0.0490000000,36.6983534271
0.0500000000,36.7427340648
0.0510000000,36.7862453303
0.0520000000,36.8289209665
0.0530000000,36.8707927879
0.0540000000,36.9118908249
0.0550000000,36.9522434548
0.0560000000,36.9918775207
0.0570000000,37.0308184406
0.0580000000,37.0690903060
0.0590000000,37.1067159729
0.0600000000,37.1437171451
0.0610000000,37.1801144498
0.0620000000,37.2159275081
0.0630000000,37.2511749994
0.0640000000,37.2858747204
0.0650000000,37.3200436401
0.0660000000,37.3536979503
0.0670000000,37.3868531123
0.0680000000,37.4195239003
0.0690000000,37.4517244413
0.0700000000,37.4834682527
0.0710000000,37.5147682766
0.0720000000,37.5456369120
0.0730000000,37.5760860451
0.0740000000,37.6061270768
0.0750000000,37.6357709488
0.0760000000,37.6650281683
0.0770000000,37.6939088304
0.0780000000,37.7224226393
0.0790000000,37.7505789284
0.0800000000,37.7783866791
0.0810000000,37.8058545380
0.0820000000,37.8329908333
0.0830000000,37.8598035906
0.0840000000,37.8863005471
0.0850000000,37.9124891653
0.0860000000,37.9383766460
0.0870000000,37.9639699400
0.0880000000,37.9892757601
0.0890000000,38.0143005915
0.0900000000,38.0390507020
0.0910000000,38.0635321517
0.0920000000,38.0877508020
0.0930000000,38.1117123242
0.0940000000,38.1354222077
0.0950000000,38.1588857677
0.0960000000,38.1821081524
0.0970000000,38.2050943500
0.0980000000,38.2278491952
0.0990000000,38.2503773755
0.1000000000,38.2726834371
0.1010000000,38.2947717905
0.1020000000,38.3166467160
0.1030000000,38.3383123685
0.1040000000,38.3597727824
0.1050000000,38.3810318765
0.1060000000,38.4020934582
0.1070000000,38.4229612275
0.1080000000,38.4436387813
0.1090000000,38.4641296170
0.1100000000,38.4844371363
0.1110000000,38.5045646484
0.1120000000,38.5245153737
0.1130000000,38.5442924466
0.1140000000,38.5638989187
0.1150000000,38.5833377617
0.1160000000,38.6026118701
0.1170000000,38.6217240640
0.1180000000,38.6406770913
0.1190000000,38.6594736305
0.1200000000,38.6781162929
0.1210000000,38.6966076247
0.1220000000,38.7149501094
0.1230000000,38.7331461696
0.1240000000,38.7511981691
0.1250000000,38.7691084147
0.1260000000,38.7868791582
0.1270000000,38.8045125979
