# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.0010000000,28.2232161680
0.0020000000,29.7300208764
0.0030000000,30.6121294196
0.0040000000,31.2384728735
0.0050000000,31.7246702373
0.0060000000,32.1222212990
0.0070000000,32.4585976162
0.0080000000,32.7501972626
0.0090000000,33.0075973337
0.0100000000,33.2380197976
0.0110000000,33.4466157914
0.0120000000,33.6371887258
0.0130000000,33.8126269537
0.0140000000,33.9751756386
0.0150000000,34.1266145998
0.0160000000,34.2683786431
0.0170000000,34.4016413478
0.0180000000,34.5273748681
0.0190000000,34.6463935443
0.0200000000,34.7593863148
0.0210000000,34.8669412118
0.0220000000,34.9695641533
0.0230000000,35.0676935544
0.0240000000,35.1617118269
0.0250000000,35.2519545292
0.0260000000,35.3387177212
0.0270000000,35.4222639305
0.0280000000,35.5028270322
0.0290000000,35.5806162728
0.0300000000,35.6558196113
0.0310000000,35.7286065126
0.0320000000,35.7991302965
0.0330000000,35.8675301262
0.0340000000,35.9339326989
0.0350000000,35.9984536919
0.0360000000,36.0611990045
0.0370000000,36.1222658301
0.0380000000,36.1817435851
0.0390000000,36.2397147170
0.0400000000,36.2962554105
0.0410000000,36.3514362061
0.0420000000,36.4053225442
0.0430000000,36.4579752454
0.0440000000,36.5094509353
0.0450000000,36.5598024216
0.0460000000,36.6090790298
0.0470000000,36.6573269031
0.0480000000,36.7045892701
0.0490000000,36.7509066853
0.0500000000,36.7963172454
0.0510000000,36.8408567836
0.0520000000,36.8845590459
0.0530000000,36.9274558501
0.0540000000,36.9695772295
0.0550000000,37.0109515645
0.0560000000,37.0516057014
0.0570000000,37.0915650611
0.0580000000,37.1308537381
0.0590000000,37.1694945917
0.0600000000,37.2075093284
0.0610000000,37.2449185788
0.0620000000,37.2817419668
0.0630000000,37.3179981749
0.0640000000,37.3537050027
0.0650000000,37.3888794224
0.0660000000,37.4235376286
0.0670000000,37.4576950857
0.0680000000,37.4913665709
0.0690000000,37.5245662142
0.0700000000,37.5573075359
0.0710000000,37.5896034811
0.0720000000,37.6214664518
0.0730000000,37.6529083371
0.0740000000,37.6839405408
0.0750000000,37.7145740078
0.0760000000,37.7448192480
0.0770000000,37.7746863594
0.0780000000,37.8041850492
0.0790000000,37.8333246539
0.0800000000,37.8621141576
0.0810000000,37.8905622097
0.0820000000,37.9186771416
