# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.0010000000,28.1607837020
0.0020000000,29.6681019005
0.0030000000,30.5507242533
0.0040000000,31.1775818353
0.0050000000,31.6642936450
0.0060000000,32.0623594701
0.0070000000,32.3992508674
0.0080000000,32.6913659101
0.0090000000,32.9492816929
0.0100000000,33.1802201835
0.0110000000,33.3893325183
0.0120000000,33.5804221073
0.0130000000,33.7563773029
0.0140000000,33.9194432679
0.0150000000,34.0713998211
0.0160000000,34.2136817676
0.0170000000,34.3474626861
0.0180000000,34.4737147301
0.0190000000,34.5932522394
0.0200000000,34.7067641517
0.0210000000,34.8148384987
0.0220000000,34.9179811977
0.0230000000,35.0166306632
0.0240000000,35.1111693063
0.0250000000,35.2019326849
0.0260000000,35.2892168583
0.0270000000,35.3732843533
0.0280000000,35.4543690446
0.0290000000,35.5326801779
0.0300000000,35.6084057117
0.0310000000,35.6817151102
0.0320000000,35.7527616926
0.0330000000,35.8216846216
0.0340000000,35.8886105936
0.0350000000,35.9536552853
0.0360000000,36.0169245955
0.0370000000,36.0785157168
0.0380000000,36.1385180652
0.0390000000,36.1970140875
0.0400000000,36.2540799677
0.0410000000,36.3097862457
0.0420000000,36.3641983614
0.0430000000,36.4173771346
0.0440000000,36.4693791903
0.0450000000,36.5202573357
0.0460000000,36.5700608956
0.0470000000,36.6188360126
0.0480000000,36.6666259147
0.0490000000,36.7134711557
0.0500000000,36.7594098316
0.0510000000,36.8044777752
0.0520000000,36.8487087318
0.0530000000,36.8921345185
0.0540000000,36.9347851681
0.0550000000,36.9766890602
0.0560000000,37.0178730406
0.0570000000,37.0583625295
0.0580000000,37.0981816209
0.0590000000,37.1373531733
0.0600000000,37.1758988928
0.0610000000,37.2138394091
0.0620000000,37.2511943458
0.0630000000,37.2879823845
0.0640000000,37.3242213243
0.0650000000,37.3599281367
0.0660000000,37.3951190157
0.0670000000,37.4298094252
0.0680000000,37.4640141416
0.0690000000,37.4977472943
0.0700000000,37.5310224031
0.0710000000,37.5638524123
0.0720000000,37.5962497235
0.0730000000,37.6282262250
0.0740000000,37.6597933200
0.0750000000,37.6909619528
0.0760000000,37.7217426326
0.0770000000,37.7521454569
0.0780000000,37.7821801323
0.0790000000,37.8118559944
0.0800000000,37.8411820270
0.0810000000,37.8701668787
0.0820000000,37.8988188803
0.0830000000,37.9271460596
0.0840000000,37.9551561559
0.0850000000,37.9828566341
0.0860000000,38.0102546971
0.0870000000,38.0373572981
0.0880000000,38.0641711521
0.0890000000,38.0907027466
0.0900000000,38.1169583515
0.0910000000,38.1429440291
0.0920000000,38.1686656431
0.0930000000,38.1941288671
0.0940000000,38.2193391926
0.0950000000,38.2443019369
0.0960000000,38.2690222505
0.0970000000,38.2935051238
0.0980000000,38.3177553936
0.0990000000,38.3417777497
0.1000000000,38.3655767404
