# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.0010000000,28.2229695050
0.0020000000,29.7295282337
0.0030000000,30.6113914799
0.0040000000,31.2374903187
0.0050000000,31.7234437485
0.0060000000,32.1207515566
0.0070000000,32.4568852999
0.0080000000,32.7482430513
0.0090000000,33.0054019055
0.0100000000,33.2355838298
0.0110000000,33.4439399608
0.0120000000,33.6342737081
0.0130000000,33.8094734240
0.0140000000,33.9717842714
0.0150000000,34.1229860685
0.0160000000,34.2645136207
0.0170000000,34.3975405063
0.0180000000,34.5230388788
0.0190000000,34.6418230777
0.0200000000,34.7545820407
0.0210000000,34.8619037993
0.0220000000,34.9642942706
0.0230000000,35.0621918690
0.0240000000,35.1559790055
0.0250000000,35.2459912377
0.0260000000,35.3325246248
0.0270000000,35.4158416937
0.0280000000,35.4961763185
0.0290000000,35.5737377451
0.0300000000,35.6487139318
0.0310000000,35.7212743425
0.0320000000,35.7915722964
0.0330000000,35.8597469559
0.0340000000,35.9259250174
0.0350000000,35.9902221574
0.0360000000,36.0527442744
0.0370000000,36.1135885611
0.0380000000,36.1728444331
0.0390000000,36.2305943372
0.0400000000,36.2869144571
0.0410000000,36.3418753328
0.0420000000,36.3955424037
0.0430000000,36.4479764897
0.0440000000,36.4992342156
0.0450000000,36.5493683883
0.0460000000,36.5984283326
0.0470000000,36.6464601909
0.0480000000,36.6935071909
0.0490000000,36.7396098865
0.0500000000,36.7848063733
0.0510000000,36.8291324841
0.0520000000,36.8726219639
0.0530000000,36.9153066297
0.0540000000,36.9572165142
0.0550000000,36.9983799968
0.0560000000,37.0388239230
0.0570000000,37.0785737130
0.0580000000,37.1176534606
0.0590000000,37.1560860241
0.0600000000,37.1938931094
0.0610000000,37.2310953462
0.0620000000,37.2677123577
0.0630000000,37.3037628254
0.0640000000,37.3392645484
0.0650000000,37.3742344979
0.0660000000,37.4086888677
0.0670000000,37.4426431216
0.0680000000,37.4761120357
0.0690000000,37.5091097395
0.0700000000,37.5416497523
0.0710000000,37.5737450185
0.0720000000,37.6054079394
0.0730000000,37.6366504031
0.0740000000,37.6674838127
0.0750000000,37.6979191122
0.0760000000,37.7279668108
0.0770000000,37.7576370058
0.0780000000,37.7869394035
0.0790000000,37.8158833395
0.0800000000,37.8444777971
0.0810000000,37.8727314252
0.0820000000,37.9006525541
0.0830000000,37.9282492114
0.0840000000,37.9555291364
0.0850000000,37.9824997938
0.0860000000,38.0091683862
0.0870000000,38.0355418667
0.0880000000,38.0616269502
0.0890000000,38.0874301238
0.0900000000,38.1129576574
0.0910000000,38.1382156132
0.0920000000,38.1632098545
0.0930000000,38.1879460548
0.0940000000,38.2124297054
0.0950000000,38.2366661235
0.0960000000,38.2606604594
0.0970000000,38.2844177033
0.0980000000,38.3079426918
0.0990000000,38.3312401145
0.1000000000,38.3543145196
0.1010000000,38.3771703195
0.1020000000,38.3998117965
0.1030000000,38.4222431073
0.1040000000,38.4444682886
0.1050000000,38.4664912610
0.1060000000,38.4883158338
0.1070000000,38.5099457089
0.1080000000,38.5313844853
0.1090000000,38.5526356622
0.1100000000,38.5737026433
0.1110000000,38.5945887397
0.1120000000,38.6152971737
0.1130000000,38.6358310816
0.1140000000,38.6561935169
0.1150000000,38.6763874533
0.1160000000,38.6964157871
0.1170000000,38.7162813402
0.1180000000,38.7359868625
0.1190000000,38.7555350344
0.1200000000,38.7749284690
0.1210000000,38.7941697144
0.1220000000,38.8132612559
