# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.0010000000,28.2228604026
0.0020000000,29.7293089730
0.0030000000,30.6110610081
0.0040000000,31.2370475857
0.0050000000,31.7228877069
0.0060000000,32.1200811619
0.0070000000,32.4560995105
0.0080000000,32.7473408283
0.0090000000,33.0043822129
0.0100000000,33.2344456344
0.0110000000,33.4426822320
0.0120000000,33.6328954185
0.0130000000,33.8079735487
0.0140000000,33.9701617883
0.0150000000,34.1212399585
0.0160000000,34.2626428672
0.0170000000,34.3955440957
0.0180000000,34.5209158002
0.0190000000,34.6395723231
0.0200000000,34.7522026048
0.0210000000,34.8593946795
0.0220000000,34.9616544672
0.0230000000,35.0594203850
0.0240000000,35.1530748467
0.0250000000,35.2429534127
0.0260000000,35.3293521450
0.0270000000,35.4125335730
0.0280000000,35.4927315739
0.0290000000,35.5701553961
0.0300000000,35.6449930007
0.0310000000,35.7174138545
0.0320000000,35.7875712794
0.0330000000,35.8556044404
0.0340000000,35.9216400368
0.0350000000,35.9857937476
0.0360000000,36.0481714744
0.0370000000,36.1088704124
0.0380000000,36.1679799799
0.0390000000,36.2255826264
0.0400000000,36.2817545386
0.0410000000,36.3365662588
0.0420000000,36.3900832295
0.0430000000,36.4423662731
0.0440000000,36.4934720171
0.0450000000,36.5434532712
0.0460000000,36.5923593629
0.0470000000,36.6402364371
0.0480000000,36.6871277245
0.0490000000,36.7330737814
0.0500000000,36.7781127064
0.0510000000,36.8222803347
0.0520000000,36.8656104142
0.0530000000,36.9081347643
0.0540000000,36.9498834206
0.0550000000,36.9908847651
0.0560000000,37.0311656461
0.0570000000,37.0707514862
0.0580000000,37.1096663820
0.0590000000,37.1479331946
0.0600000000,37.1855736323
0.0610000000,37.2226083275
0.0620000000,37.2590569061
0.0630000000,37.2949380524
0.0640000000,37.3302695678
0.0650000000,37.3650684264
0.0660000000,37.3993508246
0.0670000000,37.4331322286
0.0680000000,37.4664274174
