# Descripiton: Analise de Erro na Distribuicao de Distancia de Luminosidade exata e Aproximada
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,-0.0000005350
0.0020000000,-0.0000042774
0.0030000000,-0.0000144272
0.0040000000,-0.0000341766
0.0050000000,-0.0000667096
0.0060000000,-0.0001152024
0.0070000000,-0.0001828234
0.0080000000,-0.0002727331
0.0090000000,-0.0003880840
0.0100000000,-0.0005320210
0.0110000000,-0.0007076811
0.0120000000,-0.0009181936
0.0130000000,-0.0011666800
0.0140000000,-0.0014562541
0.0150000000,-0.0017900222
0.0160000000,-0.0021710827
0.0170000000,-0.0026025266
0.0180000000,-0.0030874371
0.0190000000,-0.0036288900
0.0200000000,-0.0042299534
0.0210000000,-0.0048936881
0.0220000000,-0.0056231473
0.0230000000,-0.0064213765
0.0240000000,-0.0072914141
0.0250000000,-0.0082362910
0.0260000000,-0.0092590305
0.0270000000,-0.0103626489
0.0280000000,-0.0115501548
0.0290000000,-0.0128245497
0.0300000000,-0.0141888278
0.0310000000,-0.0156459758
0.0320000000,-0.0171989736
0.0330000000,-0.0188507935
0.0340000000,-0.0206044007
0.0350000000,-0.0224627533
0.0360000000,-0.0244288022
0.0370000000,-0.0265054913
0.0380000000,-0.0286957572
0.0390000000,-0.0310025296
0.0400000000,-0.0334287311
0.0410000000,-0.0359772772
0.0420000000,-0.0386510766
0.0430000000,-0.0414530307
0.0440000000,-0.0443860343
0.0450000000,-0.0474529751
0.0460000000,-0.0506567338
0.0470000000,-0.0540001843
0.0480000000,-0.0574861938
0.0490000000,-0.0611176224
0.0500000000,-0.0648973236
0.0510000000,-0.0688281439
0.0520000000,-0.0729129233
0.0530000000,-0.0771544947
0.0540000000,-0.0815556846
0.0550000000,-0.0861193126
0.0560000000,-0.0908481918
0.0570000000,-0.0957451284
0.0580000000,-0.1008129221
0.0590000000,-0.1060543661
0.0600000000,-0.1114722468
0.0610000000,-0.1170693441
0.0620000000,-0.1228484315
0.0630000000,-0.1288122756
0.0640000000,-0.1349636370
0.0650000000,-0.1413052694
0.0660000000,-0.1478399202
0.0670000000,-0.1545703304
0.0680000000,-0.1614992344
0.0690000000,-0.1686293606
0.0700000000,-0.1759634304
0.0710000000,-0.1835041595
0.0720000000,-0.1912542567
0.0730000000,-0.1992164249
0.0740000000,-0.2073933605
0.0750000000,-0.2157877537
0.0760000000,-0.2244022883
0.0770000000,-0.2332396421
0.0780000000,-0.2423024866
0.0790000000,-0.2515934869
0.0800000000,-0.2611153021
0.0810000000,-0.2708705854
0.0820000000,-0.2808619833
0.0830000000,-0.2910921367
0.0840000000,-0.3015636801
0.0850000000,-0.3122792420
0.0860000000,-0.3232414450
0.0870000000,-0.3344529054
0.0880000000,-0.3459162337
0.0890000000,-0.3576340342
0.0900000000,-0.3696089056
0.0910000000,-0.3818434401
0.0920000000,-0.3943402244
0.0930000000,-0.4071018391
0.0940000000,-0.4201308589
0.0950000000,-0.4334298526
0.0960000000,-0.4470013833
0.0970000000,-0.4608480081
0.0980000000,-0.4749722782
0.0990000000,-0.4893767392
0.1000000000,-0.5040639308
0.1010000000,-0.5190363869
0.1020000000,-0.5342966358
0.1030000000,-0.5498471998
0.1040000000,-0.5656905957
0.1050000000,-0.5818293345
0.1060000000,-0.5982659216
0.1070000000,-0.6150028568
0.1080000000,-0.6320426339
0.1090000000,-0.6493877416
0.1100000000,-0.6670406626
0.1110000000,-0.6850038740
0.1120000000,-0.7032798477
0.1130000000,-0.7218710497
0.1140000000,-0.7407799404
0.1150000000,-0.7600089751
0.1160000000,-0.7795606032
0.1170000000,-0.7994372688
0.1180000000,-0.8196414104
0.1190000000,-0.8401754612
0.1200000000,-0.8610418489
0.1210000000,-0.8822429957
0.1220000000,-0.9037813186
0.1230000000,-0.9256592290
0.1240000000,-0.9478791331
0.1250000000,-0.9704434316
0.1260000000,-0.9933545200
0.1270000000,-1.0166147884
0.1280000000,-1.0402266216
0.1290000000,-1.0641923992
0.1300000000,-1.0885144954
0.1310000000,-1.1131952792
0.1320000000,-1.1382371145
0.1330000000,-1.1636423598
0.1340000000,-1.1894133685
0.1350000000,-1.2155524887
0.1360000000,-1.2420620635
0.1370000000,-1.2689444307
0.1380000000,-1.2962019229
0.1390000000,-1.3238368679
0.1400000000,-1.3518515880
0.1410000000,-1.3802484007
0.1420000000,-1.4090296183
0.1430000000,-1.4381975479
0.1440000000,-1.4677544919
0.1450000000,-1.4977027474
0.1460000000,-1.5280446065
0.1470000000,-1.5587823565
0.1480000000,-1.5899182794
0.1490000000,-1.6214546526
0.1500000000,-1.6533937481
0.1510000000,-1.6857378335
0.1520000000,-1.7184891710
0.1530000000,-1.7516500181
0.1540000000,-1.7852226275
0.1550000000,-1.8192092468
0.1560000000,-1.8536121189
0.1570000000,-1.8884334817
0.1580000000,-1.9236755686
0.1590000000,-1.9593406077
0.1600000000,-1.9954308226
0.1610000000,-2.0319484320
0.1620000000,-2.0688956501
0.1630000000,-2.1062746858
0.1640000000,-2.1440877437
0.1650000000,-2.1823370236
0.1660000000,-2.2210247204
0.1670000000,-2.2601530244
0.1680000000,-2.2997241213
0.1690000000,-2.3397401919
0.1700000000,-2.3802034126
0.1710000000,-2.4211159549
0.1720000000,-2.4624799859
0.1730000000,-2.5042976678
0.1740000000,-2.5465711585
0.1750000000,-2.5893026112
0.1760000000,-2.6324941743
