# Descripiton: Distribuicao de Distancia de Luminosidade Aproximada
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.2860203499
0.0020000000,8.5785825994
0.0030000000,12.8776867487
0.0040000000,17.1833327977
0.0050000000,21.4955207464
0.0060000000,25.8142505948
0.0070000000,30.1395223429
0.0080000000,34.4713359907
0.0090000000,38.8096915382
0.0100000000,43.1545889854
0.0110000000,47.5060283324
0.0120000000,51.8640095790
0.0130000000,56.2285327254
0.0140000000,60.5995977714
0.0150000000,64.9772047172
0.0160000000,69.3613535627
0.0170000000,73.7520443079
0.0180000000,78.1492769528
0.0190000000,82.5530514974
0.0200000000,86.9633679417
0.0210000000,91.3802262857
0.0220000000,95.8036265295
0.0230000000,100.2335686729
0.0240000000,104.6700527160
0.0250000000,109.1130786589
0.0260000000,113.5626465015
0.0270000000,118.0187562437
0.0280000000,122.4814078857
0.0290000000,126.9506014274
0.0300000000,131.4263368688
0.0310000000,135.9086142099
0.0320000000,140.3974334508
0.0330000000,144.8927945913
0.0340000000,149.3946976315
0.0350000000,153.9031425715
0.0360000000,158.4181294111
0.0370000000,162.9396581505
0.0380000000,167.4677287895
0.0390000000,172.0023413283
0.0400000000,176.5434957668
0.0410000000,181.0911921050
0.0420000000,185.6454303429
0.0430000000,190.2062104805
0.0440000000,194.7735325178
0.0450000000,199.3473964549
0.0460000000,203.9278022916
0.0470000000,208.5147500280
0.0480000000,213.1082396642
0.0490000000,217.7082712001
0.0500000000,222.3148446356
0.0510000000,226.9279599709
0.0520000000,231.5476172059
0.0530000000,236.1738163406
0.0540000000,240.8065573750
0.0550000000,245.4458403091
0.0560000000,250.0916651429
0.0570000000,254.7440318765
0.0580000000,259.4029405097
0.0590000000,264.0683910426
0.0600000000,268.7403834753
0.0610000000,273.4189178077
0.0620000000,278.1039940397
0.0630000000,282.7956121715
0.0640000000,287.4937722030
0.0650000000,292.1984741342
0.0660000000,296.9097179651
0.0670000000,301.6275036957
0.0680000000,306.3518313261
0.0690000000,311.0827008561
0.0700000000,315.8201122858
0.0710000000,320.5640656153
0.0720000000,325.3145608444
0.0730000000,330.0715979733
0.0740000000,334.8351770019
0.0750000000,339.6052979302
0.0760000000,344.3819607581
0.0770000000,349.1651654858
0.0780000000,353.9549121133
0.0790000000,358.7512006404
0.0800000000,363.5540310672
0.0810000000,368.3634033937
0.0820000000,373.1793176200
