# Descripiton: Distribuicao de Distancia de Luminosidade
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.2860191417
0.0020000000,8.5785729345
0.0030000000,12.8776541314
0.0040000000,17.1832554873
0.0050000000,21.4953697585
0.0060000000,25.8139897034
0.0070000000,30.1391080821
0.0080000000,34.4707176565
0.0090000000,38.8088111906
0.0100000000,43.1533814499
0.0110000000,47.5044212024
0.0120000000,51.8619232175
0.0130000000,56.2258802671
0.0140000000,60.5962851248
0.0150000000,64.9731305663
0.0160000000,69.3564093696
0.0170000000,73.7461143146
0.0180000000,78.1422381834
0.0190000000,82.5447737603
0.0200000000,86.9537138318
0.0210000000,91.3690511867
0.0220000000,95.7907786159
0.0230000000,100.2188889128
0.0240000000,104.6533748729
0.0250000000,109.0942292941
0.0260000000,113.5414449770
0.0270000000,117.9950147240
0.0280000000,122.4549313406
0.0290000000,126.9211876341
0.0300000000,131.3937764149
0.0310000000,135.8726904955
0.0320000000,140.3579226912
0.0330000000,144.8494658196
0.0340000000,149.3473127011
0.0350000000,153.8514561587
0.0360000000,158.3618890181
0.0370000000,162.8786041075
0.0380000000,167.4015942580
0.0390000000,171.9308523034
0.0400000000,176.4663710802
0.0410000000,181.0081434278
0.0420000000,185.5561621882
0.0430000000,190.1104202064
0.0440000000,194.6709103304
0.0450000000,199.2376254108
0.0460000000,203.8105583014
0.0470000000,208.3897018587
0.0480000000,212.9750489425
0.0490000000,217.5665924152
0.0500000000,222.1643251426
0.0510000000,226.7682399934
0.0520000000,231.3783298393
0.0530000000,235.9945875552
0.0540000000,240.6170060192
0.0550000000,245.2455781124
0.0560000000,249.8802967192
0.0570000000,254.5211547271
0.0580000000,259.1681450271
0.0590000000,263.8212605131
0.0600000000,268.4804940825
0.0610000000,273.1458386361
0.0620000000,277.8172870777
0.0630000000,282.4948323149
0.0640000000,287.1784672583
0.0650000000,291.8681848221
0.0660000000,296.5639779239
0.0670000000,301.2658394847
0.0680000000,305.9737624293
0.0690000000,310.6877396855
0.0700000000,315.4077641849
0.0710000000,320.1338288628
0.0720000000,324.8659266579
0.0730000000,329.6040505125
0.0740000000,334.3481933725
0.0750000000,339.0983481876
0.0760000000,343.8545079111
0.0770000000,348.6166655000
0.0780000000,353.3848139150
0.0790000000,358.1589461206
0.0800000000,362.9390550849
0.0810000000,367.7251337801
0.0820000000,372.5171751820
0.0830000000,377.3151722703
0.0840000000,382.1191180286
0.0850000000,386.9290054442
0.0860000000,391.7448275085
0.0870000000,396.5665772169
0.0880000000,401.3942475684
0.0890000000,406.2278315665
0.0900000000,411.0673222182
0.0910000000,415.9127125348
0.0920000000,420.7639955315
0.0930000000,425.6211642277
0.0940000000,430.4842116469
0.0950000000,435.3531308165
0.0960000000,440.2279147682
0.0970000000,445.1085565379
0.0980000000,449.9950491655
0.0990000000,454.8873856952
0.1000000000,459.7855591754
0.1010000000,464.6895626587
0.1020000000,469.5993892021
0.1030000000,474.5150318667
0.1040000000,479.4364837180
0.1050000000,484.3637378257
0.1060000000,489.2967872642
0.1070000000,494.2356251118
0.1080000000,499.1802444514
0.1090000000,504.1306383703
0.1100000000,509.0867999603
0.1110000000,514.0487223176
0.1120000000,519.0163985426
0.1130000000,523.9898217407
0.1140000000,528.9689850213
0.1150000000,533.9538814987
0.1160000000,538.9445042915
0.1170000000,543.9408465230
0.1180000000,548.9429013211
0.1190000000,553.9506618181
0.1200000000,558.9641211511
0.1210000000,563.9832724619
0.1220000000,569.0081088969
0.1230000000,574.0386236070
0.1240000000,579.0748097481
0.1250000000,584.1166604806
0.1260000000,589.1641689698
0.1270000000,594.2173283856
0.1280000000,599.2761319027
0.1290000000,604.3405727007
0.1300000000,609.4106439640
0.1310000000,614.4863388817
0.1320000000,619.5676506479
0.1330000000,624.6545724614
0.1340000000,629.7470975261
0.1350000000,634.8452190506
0.1360000000,639.9489302486
0.1370000000,645.0582243386
0.1380000000,650.1730945441
0.1390000000,655.2935340935
0.1400000000,660.4195362205
0.1410000000,665.5510941634
0.1420000000,670.6882011657
0.1430000000,675.8308504760
0.1440000000,680.9790353479
0.1450000000,686.1327490402
0.1460000000,691.2919848165
0.1470000000,696.4567359458
0.1480000000,701.6269957022
0.1490000000,706.8027573647
0.1500000000,711.9840142177
0.1510000000,717.1707595508
0.1520000000,722.3629866585
0.1530000000,727.5606888409
0.1540000000,732.7638594032
0.1550000000,737.9724916555
0.1560000000,743.1865789137
0.1570000000,748.4061144986
0.1580000000,753.6310917365
0.1590000000,758.8615039588
0.1600000000,764.0973445024
0.1610000000,769.3386067095
0.1620000000,774.5852839276
0.1630000000,779.8373695096
0.1640000000,785.0948568137
0.1650000000,790.3577392037
0.1660000000,795.6260100486
0.1670000000,800.8996627230
0.1680000000,806.1786906068
0.1690000000,811.4630870854
0.1700000000,816.7528455498
0.1710000000,822.0479593962
0.1720000000,827.3484220267
0.1730000000,832.6542268486
0.1740000000,837.9653672747
0.1750000000,843.2818367237
0.1760000000,848.6036286195
0.1770000000,853.9307363918
0.1780000000,859.2631534756
0.1790000000,864.6008733119
0.1800000000,869.9438893470
0.1810000000,875.2921950330
0.1820000000,880.6457838275
0.1830000000,886.0046491938
0.1840000000,891.3687846011
0.1850000000,896.7381835239
0.1860000000,902.1128394426
0.1870000000,907.4927458433
0.1880000000,912.8778962178
0.1890000000,918.2682840637
0.1900000000,923.6639028843
0.1910000000,929.0647461885
0.1920000000,934.4708074913
0.1930000000,939.8820803131
0.1940000000,945.2985581805
0.1950000000,950.7202346256
0.1960000000,956.1471031864
0.1970000000,961.5791574069
0.1980000000,967.0163908367
0.1990000000,972.4587970314
0.2000000000,977.9063695525
0.2010000000,983.3591019673
0.2020000000,988.8169878489
0.2030000000,994.2800207766
0.2040000000,999.7481943353
0.2050000000,1005.2215021160
0.2060000000,1010.6999377157
0.2070000000,1016.1834947372
0.2080000000,1021.6721667893
0.2090000000,1027.1659474868
0.2100000000,1032.6648304506
0.2110000000,1038.1688093073
0.2120000000,1043.6778776898
0.2130000000,1049.1920292369
0.2140000000,1054.7112575934
0.2150000000,1060.2355564102
0.2160000000,1065.7649193442
0.2170000000,1071.2993400584
0.2180000000,1076.8388122218
0.2190000000,1082.3833295096
0.2200000000,1087.9328856030
0.2210000000,1093.4874741894
0.2220000000,1099.0470889621
0.2230000000,1104.6117236207
0.2240000000,1110.1813718710
0.2250000000,1115.7560274247
0.2260000000,1121.3356839998
0.2270000000,1126.9203353205
0.2280000000,1132.5099751171
0.2290000000,1138.1045971260
0.2300000000,1143.7041950900
0.2310000000,1149.3087627579
0.2320000000,1154.9182938849
0.2330000000,1160.5327822322
0.2340000000,1166.1522215673
0.2350000000,1171.7766056640
0.2360000000,1177.4059283023
0.2370000000,1183.0401832685
0.2380000000,1188.6793643551
0.2390000000,1194.3234653609
0.2400000000,1199.9724800909
0.2410000000,1205.6264023565
0.2420000000,1211.2852259753
0.2430000000,1216.9489447713
0.2440000000,1222.6175525748
0.2450000000,1228.2910432223
0.2460000000,1233.9694105567
0.2470000000,1239.6526484273
0.2480000000,1245.3407506897
0.2490000000,1251.0337112059
0.2500000000,1256.7315238440
0.2510000000,1262.4341824788
0.2520000000,1268.1416809913
0.2530000000,1273.8540132689
0.2540000000,1279.5711732056
0.2550000000,1285.2931547013
0.2560000000,1291.0199516629
0.2570000000,1296.7515580033
0.2580000000,1302.4879676419
0.2590000000,1308.2291745046
0.2600000000,1313.9751725238
0.2610000000,1319.7259556381
0.2620000000,1325.4815177927
0.2630000000,1331.2418529394
0.2640000000,1337.0069550361
0.2650000000,1342.7768180476
0.2660000000,1348.5514359447
0.2670000000,1354.3308027050
0.2680000000,1360.1149123126
0.2690000000,1365.9037587579
0.2700000000,1371.6973360379
0.2710000000,1377.4956381562
0.2720000000,1383.2986591227
0.2730000000,1389.1063929540
0.2740000000,1394.9188336731
0.2750000000,1400.7359753096
0.2760000000,1406.5578118996
0.2770000000,1412.3843374858
0.2780000000,1418.2155461174
0.2790000000,1424.0514318501
0.2800000000,1429.8919887462
0.2810000000,1435.7372108746
0.2820000000,1441.5870923108
0.2830000000,1447.4416271368
0.2840000000,1453.3008094411
0.2850000000,1459.1646333189
0.2860000000,1465.0330928720
0.2870000000,1470.9061822087
0.2880000000,1476.7838954441
0.2890000000,1482.6662266995
0.2900000000,1488.5531701033
0.2910000000,1494.4447197902
0.2920000000,1500.3408699015
0.2930000000,1506.2416145853
0.2940000000,1512.1469479963
0.2950000000,1518.0568642957
0.2960000000,1523.9713576514
0.2970000000,1529.8904222379
0.2980000000,1535.8140522365
0.2990000000,1541.7422418350
0.3000000000,1547.6749852279
0.3010000000,1553.6122766163
0.3020000000,1559.5541102081
0.3030000000,1565.5004802177
0.3040000000,1571.4513808662
0.3050000000,1577.4068063815
0.3060000000,1583.3667509981
0.3070000000,1589.3312089570
