# Descripiton: Distribuicao de Distancia de Luminosidade
# Domain: z in [0, 10]
# Units: z [adm.], dL [Mpc] 
# z,dL
0.0010000000,4.2838195523
0.0020000000,8.5697772720
0.0030000000,12.8578699589
0.0040000000,17.1480944210
0.0050000000,21.4404474742
0.0060000000,25.7349259422
0.0070000000,30.0315266567
0.0080000000,34.3302464573
0.0090000000,38.6310821913
0.0100000000,42.9340307140
0.0110000000,47.2390888882
0.0120000000,51.5462535848
0.0130000000,55.8555216822
0.0140000000,60.1668900665
0.0150000000,64.4803556316
0.0160000000,68.7959152789
0.0170000000,73.1135659176
0.0180000000,77.4333044643
0.0190000000,81.7551278434
0.0200000000,86.0790329866
0.0210000000,90.4050168332
0.0220000000,94.7330763301
0.0230000000,99.0632084317
0.0240000000,103.3954100995
0.0250000000,107.7296783028
0.0260000000,112.0660100181
0.0270000000,116.4044022293
0.0280000000,120.7448519276
0.0290000000,125.0873561117
0.0300000000,129.4319117872
0.0310000000,133.7785159675
0.0320000000,138.1271656728
0.0330000000,142.4778579307
0.0340000000,146.8305897759
0.0350000000,151.1853582505
0.0360000000,155.5421604034
0.0370000000,159.9009932909
0.0380000000,164.2618539762
0.0390000000,168.6247395297
0.0400000000,172.9896470289
0.0410000000,177.3565735581
0.0420000000,181.7255162088
0.0430000000,186.0964720794
0.0440000000,190.4694382753
0.0450000000,194.8444119087
0.0460000000,199.2213900988
0.0470000000,203.6003699718
0.0480000000,207.9813486606
0.0490000000,212.3643233049
0.0500000000,216.7492910514
0.0510000000,221.1362490534
0.0520000000,225.5251944711
0.0530000000,229.9161244715
0.0540000000,234.3090362280
0.0550000000,238.7039269211
0.0560000000,243.1007937378
0.0570000000,247.4996338718
0.0580000000,251.9004445233
0.0590000000,256.3032228992
0.0600000000,260.7079662132
0.0610000000,265.1146716852
0.0620000000,269.5233365419
0.0630000000,273.9339580165
0.0640000000,278.3465333486
0.0650000000,282.7610597844
0.0660000000,287.1775345764
0.0670000000,291.5959549838
0.0680000000,296.0163182720
0.0690000000,300.4386217128
0.0700000000,304.8628625846
0.0710000000,309.2890381719
0.0720000000,313.7171457657
0.0730000000,318.1471826632
0.0740000000,322.5791461681
0.0750000000,327.0130335901
0.0760000000,331.4488422453
0.0770000000,335.8865694560
0.0780000000,340.3262125508
0.0790000000,344.7677688645
0.0800000000,349.2112357379
0.0810000000,353.6566105180
0.0820000000,358.1038905581
0.0830000000,362.5530732175
0.0840000000,367.0041558615
0.0850000000,371.4571358617
0.0860000000,375.9120105956
0.0870000000,380.3687774468
0.0880000000,384.8274338047
0.0890000000,389.2879770651
0.0900000000,393.7504046294
0.0910000000,398.2147139053
0.0920000000,402.6809023060
0.0930000000,407.1489672511
0.0940000000,411.6189061657
0.0950000000,416.0907164811
0.0960000000,420.5643956343
0.0970000000,425.0399410681
0.0980000000,429.5173502312
0.0990000000,433.9966205781
0.1000000000,438.4777495692
0.1010000000,442.9607346704
0.1020000000,447.4455733536
0.1030000000,451.9322630964
0.1040000000,456.4208013819
0.1050000000,460.9111856993
0.1060000000,465.4034135430
0.1070000000,469.8974824134
0.1080000000,474.3933898165
0.1090000000,478.8911332637
0.1100000000,483.3907102724
0.1110000000,487.8921183653
0.1120000000,492.3953550707
0.1130000000,496.9004179225
0.1140000000,501.4073044602
0.1150000000,505.9160122286
0.1160000000,510.4265387784
0.1170000000,514.9388816654
0.1180000000,519.4530384510
0.1190000000,523.9690067022
0.1200000000,528.4867839911
0.1210000000,533.0063678956
0.1220000000,537.5277559988
0.1230000000,542.0509458891
0.1240000000,546.5759351605
0.1250000000,551.1027214121
0.1260000000,555.6313022486
0.1270000000,560.1616752798
0.1280000000,564.6938381208
0.1290000000,569.2277883922
0.1300000000,573.7635237196
0.1310000000,578.3010417341
0.1320000000,582.8403400719
0.1330000000,587.3814163743
0.1340000000,591.9242682881
0.1350000000,596.4688934650
0.1360000000,601.0152895621
0.1370000000,605.5634542415
0.1380000000,610.1133851705
0.1390000000,614.6650800215
0.1400000000,619.2185364720
0.1410000000,623.7737522046
0.1420000000,628.3307249071
0.1430000000,632.8894522722
0.1440000000,637.4499319977
0.1450000000,642.0121617863
0.1460000000,646.5761393461
0.1470000000,651.1418623897
0.1480000000,655.7093286350
0.1490000000,660.2785358048
0.1500000000,664.8494816269
0.1510000000,669.4221638339
0.1520000000,673.9965801634
0.1530000000,678.5727283580
0.1540000000,683.1506061651
0.1550000000,687.7302113370
0.1560000000,692.3115416307
0.1570000000,696.8945948084
0.1580000000,701.4793686368
0.1590000000,706.0658608877
0.1600000000,710.6540693374
0.1610000000,715.2439917673
0.1620000000,719.8356259633
0.1630000000,724.4289697163
0.1640000000,729.0240208219
0.1650000000,733.6207770801
0.1660000000,738.2192362962
0.1670000000,742.8193962797
0.1680000000,747.4212548451
0.1690000000,752.0248098114
0.1700000000,756.6300590024
0.1710000000,761.2370002465
